device_name,description
light.upstairs_cinema_zwave,Kinolicht im Obergeschoss
light.downstairs_cinema_mqtt,Kinolicht im Erdgeschoss
light.front_cinema_homekit,Kinolicht vorne
light.back_cinema_lifx,Zurück Kinolicht
light.kitchen_oven_warm,Küchenofen warmes Licht
light.upstairs_mancave_zigbee,Oben Menschenhöhlenlicht
light.downstairs_mancave_homekit,Menschenhöhlenlicht im Erdgeschoss
light.front_mancave_ge,Frontmann-Höhlenlicht
light.back_mancave_warm,Zurück Man Cave Warmes Licht
light.kitchen_shelf_cool,Küchenregal Cool Light
light.upstairs_balcony_zwave,Balkonbeleuchtung im Obergeschoss
light.downstairs_balcony_mqtt,Balkonlicht im Erdgeschoss
light.front_balcony_homekit,Vorderes Balkonlicht
light.back_balcony_lifx,Hinteres Balkonlicht
light.kitchen_cornice_warm,Küchengesims warmes Licht
light.upstairs_stairwell_zigbee,Treppenlicht im Obergeschoss
light.downstairs_stairwell_homekit,Licht im Treppenhaus im Erdgeschoss
light.front_stairwell_ge,Vorderes Treppenhauslicht
light.back_stairwell_warm,"Hinteres Treppenhaus, warmes Licht"
light.kitchen_mirror_cool,"Küchenspiegel, kühles Licht"
light.upstairs_basement_zwave,Kellerlicht im Obergeschoss
light.downstairs_basement_mqtt,Kellerlicht im Erdgeschoss
light.front_basement_homekit,Kellerlicht vorne
light.back_basement_lifx,Hinteres Kellerlicht
light.kitchen_windowseat_warm,"Küchenfenstersitz, warmes Licht"
light.upstairs_recreation_zigbee,Erholungslicht im Obergeschoss
light.downstairs_recreation_homekit,Erholungslicht im Erdgeschoss
light.front_recreation_ge,Vorderes Freizeitlicht
light.back_recreation_warm,Zurück Erholung Warmes Licht
light.kitchen_sideboard_cool,Küchen-Sideboard Cool Light
light.upstairs_courtyard_zwave,Licht im Innenhof im Obergeschoss
light.downstairs_courtyard_mqtt,Hoflicht im Erdgeschoss
light.front_courtyard_homekit,Vorhoflicht
light.back_courtyard_lifx,Hinterhoflicht
light.kitchen_winecellar_warm,Küche Weinkeller Warmes Licht
light.upstairs_arcade_zigbee,Arcade-Licht im Obergeschoss
light.downstairs_arcade_homekit,Arcade-Licht im Erdgeschoss
light.front_arcade_ge,Vorderes Arcade-Licht
light.back_arcade_warm,Zurück Arcade Warmes Licht
light.kitchen_pantry_cool,"Küche, Speisekammer, kühles Licht"
light.upstairs_washroom_zwave,Badezimmerbeleuchtung im Obergeschoss
light.downstairs_washroom_mqtt,Badezimmerbeleuchtung im Erdgeschoss
light.front_washroom_homekit,Waschraumbeleuchtung vorn
light.back_washroom_lifx,Hintere Toilettenbeleuchtung
light.kitchen_fridge_warm,"Küche, Kühlschrank, warmes Licht"
light.upstairs_library_zigbee,Bibliothekslicht im Obergeschoss
light.downstairs_library_homekit,Bibliothekslicht im Erdgeschoss
light.front_library_ge,Vordere Bibliotheksleuchte
light.back_library_warm,Zurück Bibliothek Warmes Licht
light.kitchen_coffeecorner_cool,"Küche, Kaffeeecke, kühles Licht"
light.upstairs_playroom_zwave,Spielzimmerbeleuchtung im Obergeschoss
light.downstairs_playroom_mqtt,Licht im Spielzimmer im Erdgeschoss
light.front_playroom_homekit,Vorderes Spielzimmerlicht
light.back_playroom_lifx,Hinteres Spielzimmerlicht
light.kitchen_microwave_warm,"Küche, Mikrowelle, warmes Licht"
light.upstairs_observatory_zigbee,Observatoriumslicht im Obergeschoss
light.downstairs_observatory_homekit,Observatoriumslicht im Erdgeschoss
light.front_observatory_ge,Vorderes Observatoriumslicht
light.back_observatory_warm,Zurück Observatorium Warmes Licht
light.kitchen_toaster_cool,Küchentoaster Cool Light
light.upstairs_workout_zwave,Trainingslicht im Obergeschoss
light.downstairs_workout_mqtt,Trainingslicht im Erdgeschoss
light.front_workout_homekit,Vorderes Trainingslicht
light.back_workout_lifx,Rückentrainingslicht
light.kitchen_display_warm,Küchendisplay mit warmem Licht
light.upstairs_utility_zigbee,Versorgungslicht im Obergeschoss
light.downstairs_utility_homekit,Versorgungslicht im Erdgeschoss
light.front_utility_ge,Vorderes Nutzlicht
light.back_utility_warm,Zurück Utility Warm Light
light.kitchen_trashbin_cool,"Küchenabfalleimer, kühles Licht"
light.upstairs_sitting_zwave,Wohnzimmerlampe im Obergeschoss
light.downstairs_sitting_mqtt,Wohnzimmerlicht im Erdgeschoss
light.front_sitting_homekit,Vorderes Wohnzimmerlicht
light.back_sitting_lifx,Hinteres Wohnzimmerlicht
light.kitchen_freezer_warm,Küchen-Gefrierschrank-Licht
light.upstairs_zen_zigbee,Oben Zen-Licht
light.downstairs_zen_homekit,Unten Zen-Licht
light.front_zen_ge,Vorderlicht
light.back_zen_warm,Zurück Zen-Licht
light.esszimmer_kronleuchter,Esszimmer-Kronleuchter
light.kronleuchter_front_hallway,Kronleuchter für den vorderen Flur
lock.hintertür,Hintertürschloss
lock.hintertür,Schloss für den Hinterhofeingang
lock.keller,Kellerschloss
lock.fahrradständer,Fahrradträgerschloss
lock.fahrrad_aufbewahrung,Fahrradaufbewahrungsschloss
lock.aktenschrank,Aktenschrankschloss
lock.front_door_1,Haupteingangsschleuse
lock.haustür,Vordertürschloss
lock.garage,Garagentorschloss
lock.gästezimmer,Gästezimmerschloss
lock.gun_safe,Waffentresorschloss
lock.briefkasten,Sicheres Postfachschloss
lock.hauptschlafzimmer,Hauptschlafzimmerschloss
lock.kindergarten,Türschloss für Kinderzimmer
lock.büro,Büroschloss
lock.terrassentür,Schiebetür für die Terrasse
lock.pool_gate,Pooltorschloss
lock.pool_gate,Schwimmbadtor
lock.sicherheitskaution,Safe
lock.schlage_smart,Schlage Smart Lock
lock.schuppen_2,Zweites Schuppenschloss
lock.werkzeugschuppen,Schloss für Geräteschuppen
lock.werkzeugschuppen,Schloss für Geräteschuppen
lock.allzweckraum,Hauswirtschaftsraumschloss
lock.weinkeller,Weinkellerschloss
lock.weinkeller,Weinkellerschloss
lock.yale_kitchen,Yale Kitchen
lock.yale_living,Yale-Wohnzimmer
lock.yoga_raum,Yoga-Raumschloss
lock.dachboden,Dachbodentürschloss
lock.balkon_tür,Zugangssperre zum Balkon
lock.schlafzimmer_2,Zweites Schlafzimmerschloss
lock.schlafzimmer_3,Drittes Schlafzimmerschloss
lock.bootshaus,Bootshausschleuse
lock.kleiderschrank,Schranktürschloss
lock.wintergarten,Wintergartenschloss
lock.höhle,Höhlenschloss
lock.esszimmer,Esszimmerschloss
lock.einfahrtstor,Einfahrtstorschloss
lock.elektrisches_tor,Elektrisches Torschloss
lock.aufzug,Private Aufzugsschleuse
lock.zauntür,Zauntorschloss
lock.ablageraum,Aktenraumschloss
lock.eingangstor,Vordertorschloss
lock.gartentor,Gartentorschloss
lock.gewächshaus,Gewächshausschloss
lock.fitnessstudio,Heim-Fitnessstudio-Schloss
lock.flur_closet,Schrankschloss für den Flur
lock.heimkino,Heimkino-Sperre
lock.zwinger,Tierhüttenschloss
lock.kitchen_door,Kücheneingangsschloss
lock.wäschekammer,Waschküchenschloss
lock.wohnzimmer,Wohnzimmerschloss
lock.dachgeschoss,Loft-Schloss
lock.schlammraum,Mudroom-Schloss
lock.musikzimmer,Musikraumschloss
lock.office_cabinet,Büroschrankschloss
lock.speisekammer,Speisekammerschloss
lock.spielzimmer,Spielzimmerschloss
lock.porch_door,Veranda-Türschloss
lock.rear_gate,Heckklappenschloss
lock.rooftop_door,Zugangsschleuse auf dem Dach
lock.sauna,Sauna-Türschloss
lock.secure_storage,Sicheres Aufbewahrungsschloss
lock.dienstboteneingang,Service-Eingangsschleuse
lock.seitentür,Seitliches Einstiegsschloss
lock.seiteneingang,Seitliches Torschloss
lock.ski_storage,Skiaufbewahrungsschloss
lock.stair_gate,Treppentorschloss
lock.lagerraum,Lagerraumschloss
lock.studio,Studioschloss
lock.wintergarten,Wintergartenschloss
lock.terrassentür,Terrassentürschloss
lock.fahrzeug_gate,Fahrzeugtorschloss
lock.begehbarer_kleiderschrank,Begehbares Schrankschloss
lock.werkstatt,Werkstattschloss
lock.werkstattkabinett,Werkstattschrankschloss
lock.yard_shed,Hofschuppenschloss
media_player.apple_tv,Apple TV-Mediaplayer
media_player.keller,Keller-Mediaplayer
media_player.bose_schlafzimmer,Bose-Schlafzimmer
media_player.bose_living,Bose-Wohnzimmer
media_player.chrome_cast_schlafzimmer,Schlafzimmer-Chromecast
media_player.chromecast,Chromecast-Medien
media_player.echo_dot,Küche Echo Dot
media_player.fire_tv_stick,Fire TV Stick
media_player.fire_tv,Fire TV-Medien
media_player.garage,Garage Media Player
media_player.gästezimmer,Gästezimmermedien
media_player.heimkino,Heimkino-Medien
media_player.ipad_kitchen,Küchen-iPad
media_player.küche,Küchen-Mediaplayer
media_player.laptop_stream,Streaming-Laptop
media_player.wohnzimmer,Wohnzimmermedien
media_player.hauptschlafzimmer,Medien im Hauptschlafzimmer
media_player.nintendo_switch,Nintendo-Switch
media_player.kindergarten,Kindergarten-Mediaplayer
media_player.büro,Office Media Player
media_player.terrasse,Terrassen-Mediaplayer
media_player.ps5_living_room,Wohnzimmer PS5
media_player.roku_schlafzimmer,Roku-Hauptschlafzimmer
media_player.roku_schlafzimmer,Schlafzimmer-Roku-Spieler
media_player.roku_living,Roku-Wohnzimmer
media_player.samsung_tv,Fernseher im Wohnzimmer
media_player.sonos_schlafzimmer,Sonos Hauptschlafzimmer
media_player.sonos_kitchen,Sonos-Küche
media_player.sonos_kitchen,Sonos-Lautsprecher für die Küche
media_player.sonos_living,Sonos-Wohnzimmer
media_player.soundbar_living_room,Soundbar im Wohnzimmer
media_player.xbox_den,Die Xbox-Konsole
media_player.sony_bravia_tv,Sony Smart LED-Fernseher
media_player.samsung_qled_tv,Samsung Quantum Dot-Fernseher
media_player.lg_oled_tv,LG OLED-Fernseher
media_player.panasonic_4k_bluray_player,Panasonic Blueray-Player
media_player.denon_av_receiver,Denon Audio-Video-Receiver
media_player.onkyo_tx_sr,Onkyo Heimkino-Receiver
media_player.google_nest_hub,Google Assistant Smart Display
media_player.amazon_echo_show,Amazon Echo Smart Screen
media_player.apple_tv_4k,Apple 4K-Streaming-Gerät
media_player.roku_ultra,Roku Hochleistungs-Streamer
media_player.xbox_one,Xbox One
media_player.playstation_5,Sony PS5
media_player.joes_ps5,Joes PS5
media_player.nintendo_switch_dock,Nintendo-Konsolendock
media_player.sony_4k_projector,Heimkinoprojektor von Sony
media_player.epson_home_cinema,Epson-Videoprojektor
media_player.bose_home_speaker,Bose Wireless-Lautsprecher
media_player.sonos_beam,Sonos Kompakt-Soundbar
media_player.harman_kardon_aura,Harman Kardon Glaslautsprecher
media_player.bang_olufsen_beovision,B&O High-End-Fernseher
media_player.philips_ambilight_tv,Philips LED-Fernseher mit Hintergrundbeleuchtung
media_player.vizio_smartcast_tv,Vizio Cast-fähiger Fernseher
media_player.sony_ps_lx310bt,Bluetooth-Plattenspieler von Sony
media_player.audio_technica_at_lp120,Audio-Technica-Plattenspieler
media_player.samsung_hw_q90r,Samsung Surround-Soundbar
media_player.sonos_arc,Sonos Smart Soundbar
media_player.home_theater_system_living_room,Heimkino im Wohnzimmer
media_player.desktop_computer_media_suite,Desktop-Computer Media Center
media_player.wandmontierter_tv_schlafzimmer,Wandfernseher im Schlafzimmer
media_player.kitchen_radio,Küchenradio-Player
media_player.badezimmer_lautsprechersystem,Wasserdichter Badezimmerlautsprecher
media_player.garage_workshop_stereo,Garagen-Werkstatt-Stereoanlage
media_player.patio_outdoor_speakers,Terrassen-Außenlautsprecher
media_player.keller_projektor_setup,Kellerprojektorsystem
media_player.office_pc_speakers,Lautsprecher für Bürocomputer
media_player.bedside_alarm_clock_radio,Radiowecker am Bett
media_player.game_room_console,Spielzimmerkonsole
media_player.lounge_hi_fi_system,Lounge-HiFi-Audio
media_player.dining_room_jukebox,Esszimmer-Jukebox
media_player.guest_room_tv_set,Fernseher im Gästezimmer
media_player.study_room_audio_book_player,Studieren Sie den Hörbuch-Player
media_player.sunroom_cd_player,Wintergarten-CD-Player
media_player.attic_vinyl_turntable,Dachboden-Schallplattenspieler
media_player.backyard_outdoor_projector,Hinterhofprojektor
media_player.entryway_voice_assistant,Sprachassistent im Eingangsbereich
media_player.flur_wall_speaker,Wandlautsprecher für den Flur
switch.attic_lights,Lichtschalter für den Dachboden
switch.balkon_beleuchtung,Steuerung der Balkonbeleuchtung
switch.keller_lichter,Kellerlichtschalter
switch.badezimmer_fan,Schalter für Badezimmerventilator
switch.schlafzimmer_lichter,Schlafzimmerlichtschalter
switch.boathouse_lights,Bootshaus-Lichtschalter
switch.closet_lighting,Steuerung der Schrankbeleuchtung
switch.wintergarten_lichter,Wintergarten-Lichtschalter
switch.deck_lights,Deckbeleuchtungsschalter
switch.den_lights,Höhlenlichtschalter
switch.dining_room_lights,Lichtschalter für das Esszimmer
switch.einfahrtslichter,Steuerung der Einfahrtsbeleuchtung
switch.front_gate_lighting,Schalter für die Vordertorbeleuchtung
switch.front_yard_lights,Schalter für die Vorgartenbeleuchtung
switch.garagentor_öffner,Garagentoröffnerschalter
switch.gartenlichter,Steuerung der Gartenbeleuchtung
switch.guest_room_lights,Lichtschalter im Gästezimmer
switch.flur_lichter,Flurlichtschalter
switch.home_theater_lighting,Steuerung der Heimkinobeleuchtung
switch.kitchen_lights,Küchenlichtschalter
switch.laundry_room_lights,Lichtschalter für Waschküche
switch.living_room_lights,Wohnzimmer-Lichtschalter
switch.loft_lights,Loft-Lichtschalter
switch.master_schlafzimmer_lichter,Lichtschalter im Hauptschlafzimmer
switch.office_lights,Schalter für Bürobeleuchtung
switch.outdoor_security_lights,Schalter für Sicherheitsbeleuchtung im Außenbereich
switch.pantry_lights,Schalter für Speisekammerbeleuchtung
switch.terrassenlichter,Schalter für Terrassenbeleuchtung
switch.spielzimmer_lichter,Lichtschalter für Spielzimmer
switch.pool_area_lighting,Steuerung der Poolbereichsbeleuchtung
switch.porch_lights,Schalter für die Verandabeleuchtung
switch.rear_yard_lights,Schalter für die Hinterhofbeleuchtung
switch.sauna_lights,Saunalichtschalter
switch.sicherheitssystem,Schalter des Sicherheitssystems
switch.shed_lights,Schuppenlichtschalter
switch.stairway_lights,Treppenlichtschalter
switch.study_room_lights,Lichtschalter im Arbeitszimmer
switch.sunroom_lights,Wintergarten-Lichtschalter
switch.terrassenbeleuchtung,Steuerung der Terrassenbeleuchtung
