device_name,description
garage_door.rv,Brama garażowa do samochodu kempingowego
garage_door.szopa_1,Pierwsze drzwi do szopy
garage_door.szopa_2,Drugie drzwi do szopy
garage_door.wasztat,Warsztatowa brama garażowa
garage_door.lewe_drzwi,Lewe drzwi garażowe
garage_door.strona_2,Boczna brama garażowa
garage_door.strona,Boczne drzwi garażowe
garage_door.zapasowy,Zapasowe drzwi garażowe
garage_door.dwa_samochody,Drzwo garażowe podwójne
garage_door.wyższy_poziom,Garaż na górnym poziomie
garage_door.piwnica_na_wino,Drzwi do piwnicy z winami
light.nad_stołem_jadalnym,Lampa stołowa w jadalni
light.akwarium,Światło do akwarium
light.strych,Światło na poddaszu
light.podwórko,Światło podwórkowe
light.piwnica,Światło w piwnicy
light.łazienka_1,Światło w łazience
light.łazienka_2,Światło w łazience
light.łazienka_lustro,Światła nad lustrem
light.łazienka,Światło w łazience
light.sypialnia_1,Światło w sypialni
light.sypialnia_2,Światło w sypialni
light.sypialnia_3,Światło w sypialni
light.sypialnia,Światło w sypialni
light.szafa_pod_schodami,Oświetlenie szafy pod schodami
light.pokład_lewy,Lewe światło pokładowe
light.jadalnia_1,Światło w jadalni
light.jadalnia_2,Światło w jadalni
light.jadalnia_3,Światło w jadalni
light.jadalnia,Światło w jadalni
light.podjazd_1,Pierwsze światło na podjeździe
light.podjazd,Światło na podjeździe
light.ganek,Światło na ganku
light.podwórko,Oświetlenie podwórka przed domem
light.garaż,Światło w garażu
light.ogród_1,Światło ogrodowe
light.ogród_2,Światło ogrodowe
light.ścieżka_ogrodowa,Oświetlenie ścieżki ogrodowej
light.ogród,Światło ogrodowe
light.pokój_gościnny,Światła pokoju gościnnego
light.korytarz_na_górze,Światło w korytarzu na piętrze
light.korytarz,Światła w korytarzu
light.korytarz,Światło w korytarzu
light.gorąca_wanna,Oświetlenie wanny z hydromasażem
light.kuchnia_1,Główne światło kuchenne
light.kuchnia_2,Drugie światło kuchenne
light.blat_kuchenny,światło nad blatem w kuchni
light.blat_kuchenny,Oświetlenie blatu kuchennego
light.stół_kuchenny,Światło na stół kuchenny
light.kuchnia,Światło kuchenne
light.salon_1,Lampy w salonie
light.salon_2,Lampy w salonie
light.salon_sufit,Lampa sufitowa w salonie
light.salon_sufit,Jasne światło sufitowe
light.salon,Światło do salonu
light.główna_sypialnia_1,Światło w głownej sypialni
light.główna_sypialnia_2,Światło w głownej sypialni
light.główna_lampa_sypialni,Główna lampa do sypialni
light.żłobek,Światło w przedszkolu
light.biuro_1,Światło w biurze
light.biuro_2,Światło w biurze
light.biurko,Lampka na biurko
light.biuro,Światło biurowe
light.zewnetrzne,Światła zewnętrzne
light.patio_1,Zewnętrzne oświetlenie tarasowe
light.patio,Światła tarasowe
light.patio,Światło tarasowe
light.philips_hue_1,Philips Hue
light.philips_hue_2,Philips Hue
light.basen,Światło basenowe
light.szopa,Światłą w szopie
light.badanie_1,Światła do nauki
light.badanie_2,Światła do nauki
light.badanie_3,Światła do nauki
light.badanie,Badanie światła
light.stoł_warsztatowy,Lampa warsztatowa w garażu
light.yeelight_smart,Inteligentne światło Yeelight
light.na_piętrze_master_bedroom_hue,Odcień głównej sypialni na piętrze
light.na_dole_guest_bedroom_zigbee,Światło w sypialni dla gości na parterze
light.przód_office_mqtt,Światło w biurze
light.tył_rodzinny_pokój_ciepły,Tyny Pokój rodzinny Ciepłe światło
light.odcień_przedpokoju_bocznego,Odcień bocznego korytarza
light.garaż_osram,Światło w Garażu Osram
light.piwnica_warsztat_mqtt,Światło warsztatu w piwnicy
light.tylna_sypialnia_ciepłe,Tylna sypialnia Ciepłe światło
light.dół_łazienka_ciepło,Łazienka na dole Ciepłe światło
light.przód_yard_osram,przód Yard Osram
light.na_górze_guest_bedroom_zigbee,Światło w sypialni gościnnej na piętrze
light.parter_biuro_mqtt,Światło w biurze na parterze
light.przód_bedroom_homekit,Światło sypialni z przodu
light.tył_office_lifx,Światło biura z tyłu
light.kuchnia_stół_ciepły,Ciepłe światło kuchennego stołu
light.na_górze_tv_room_zigbee,Światło w pokoju telewizyjnym na piętrze
light.na_dole_tv_room_homekit,Światło w pokoju telewizyjnym na parterze
light.przód_tv_room_ge,Przednie oświetlenie pokoju telewizyjnego
light.tył_tv_room_warm,Tyny Pokój telewizyjny Ciepłe światło
light.kuchnia_zlew_fajny,Chłodne światło zlewu kuchennego
light.kuchnia_szafka_ciepła,Szafka kuchenna Ciepłe światło
light.piętro_korytarz_zigbee,Światło w korytarzu na piętrze
light.dół_korytarz_mqtt,Światło na korytarzu na dole
light.przód_korytarz_homekit,Światło w przednim korytarzu
light.tył_corridor_lifx,Światło tylnego korytarza
light.garaż_workbench_cool,Stół warsztatowy w garażu zimne światło
light.piętro_przedszkole_zwave,Światło w przedszkolu na górze
light.na_dole_nursery_mqtt,Światło w przedszkolu na dole
light.przód_nursery_homekit,Przednie światło do przedszkola
light.tył_nursery_warm,Powrót Przedszkole Ciepłe światło
light.kuchnia_sufit_cool,Chłodne światło sufitowe w kuchni
light.piwnica_przechowalnia_zimne,Chłodne światło do przechowywania w piwnicy
light.góra_szafa_zwave,Światło w szafie na górze
light.dół_szafa_mqtt,Światło w szafie na dole
light.przód_closet_homekit,Światło przednie w szafie
light.tylna_szafa_ciepła,Tylna szafa Ciepłe światło
light.kuchnia_okno_chłodne,Chłodne światło w oknie kuchennym
light.piętro_wejście_zwave,Światło w wejściu na górę
light.parter_wejśćie_mqtt,Światło w wejściu na dół
light.przódw_wejśćie_homekit,Światło w przedpokoju
light.tył_wejśćie_lifx,Światło tylnego wejścia
light.kuchnia_biurko_ciepłe,Ciepłe światło na biurko w kuchni
light.kuchnia_podłoga_cool,Chłodne światło na podłodze w kuchni
light.piętro_poddasze_zwave,Światło na poddaszu na piętrze
light.parter_poddasze_mqtt,Światło na poddaszu na parterze
light.przód_poddasze_homekit,Światło na poddaszu z przodu
light.tył_poddasze_lifx,Światło na poddaszu z tyłu
light.kuchnia_rack_cool,Półka kuchenna Fajne światło
light.góra_gabinet_zwave,Światło w gabinecie na piętrze
light.parter_gabinet_mqtt,Światło w gabinecie na dole
light.kuchnia_bar_ciepły,Kuchnia Bar Ciepłe Światło
light.na_górze_jadalnia_zigbee,Światło do jadalni na piętrze
light.dolna_jadalnia_homekit,Światło do jadalni na dole
light.przednia_jadalnia_ge,lampa jadalni z przodu
light.tylna_dining_warm,Tylna Jadalnia Ciepłe światło
light.kuchnia_ściana_cool,Chłodne światło na ścianie kuchennej
light.piętro_kominek_zwave,Światło kominkowe na piętrze
light.dół_kominek_mqtt,Światło kominkowe na dole
light.przód_kominek_homekit,Przednia lampa kominkowa
light.tył_fireplace_lifx,Tylne światło kominkowe
light.kuchnia_półka_warm,Półka kuchenna Ciepłe światło
light.górze_podwórko_bok_zigbee,Boczne oświetlenie ogrodu na piętrze
light.dolny_podwórko_homekit,Boczne oświetlenie ogrodu na dole
light.przód_podwórko_ge,Przednie boczne światło ogrodowe
light.tył_podwórko_warm,Ciepłe światło na podwórku z tyłu
light.kuchnia_szafka_fajna,Szafka kuchenna Fajne światło
light.piętro_kino_zwave,Światło kinowe na górze
light.na_dole_kino_mqtt,Światło kina na dole
light.przód_cinema_homekit,Przednie światło kinowe
light.tył_cinema_lifx,Tylne światło kinowe
light.kuchnia_piekarnik_ciepły,Ciepłe światło piekarnika kuchennego
light.na_górze_mancave_zigbee,Światło w jaskini człowieka na górze
light.na_dole_mancave_homekit,Światło w jaskini człowieka na dole
light.przód_mancave_ge,Światło jaskiniowe z przodu
light.tył_mancave_warm,Ciepłe światło w jaskini człowieka z tyłu
light.kuchnia_półka_fajna,Półka kuchenna Fajne światło
light.piętro_balkon_zwave,Światło na balkonie na piętrze
light.parter_balkon_mqtt,Światło na balkonie na dole
light.przód_balcony_homekit,Przednia lampa balkonowa
light.tył_balcony_lifx,Tylne światło balkonowe
light.kuchnia_karnisz_ciepły,Kuchenny Gzyms Ciepłe Światło
light.piętro_schody_zigbee,Światło na klatce schodowej na piętrze
light.na_dole_klatka_schodowa_homekit,Światło na klatce schodowej na dole
light.przód_schody_ge,Światło na klatce schodowej z przodu
light.tył_schody_warm,Tylna klatka schodowa Ciepłe światło
light.kuchnia_lustro_fajne,Lustro kuchenne Chłodne światło
light.kuchnia_okno_ciepłe,Ciepłe światło przy oknie kuchennym
light.na_górze_rekreacja_zigbee,Światło rekreacyjne na piętrze
light.dół_rekreacja_homekit,Światło rekreacyjne na dole
light.przód_rekreacja_ge,Przednie światło rekreacyjne
light.tył_rekreacja_warm,Powrót Rekreacja Ciepłe światło
light.kuchnia_kredens_cool,Kredens kuchenny chłodne światło
light.kuchnia_piwnica_wina_ciepła,Kuchenna piwnica na wino Ciepłe światło
light.na_górze_pokój_gier_zigbee,Światło na górze pokój gier
light.na_dole_pokój_gier_homekit,Światło na dole pokój gier
light.przód_pokój_gier_ge,Przednie światło arkadowe
light.tył_pokój_gier_warm,Powrót pokój gier Ciepłe światło
light.kuchnia_spiżarnia_fajna,Kuchenna spiżarnia Fajne światło
light.piętro_łazienka_zwave,Światło w łazience na piętrze
light.na_dole_łazienka_mqtt,Światło w łazience na dole
light.przód_washroom_homekit,Przednie oświetlenie toalety
light.tył_washroom_lifx,Tylne światło toalety
light.kuchnia_lodówka_ciepła,Kuchnia Lodówka Ciepłe Światło
light.na_górze_biblioteka_zigbee,Światło biblioteki na piętrze
light.na_dole_biblioteka_homekit,Światło biblioteki na dole
light.przód_biblioteka_ge,Przednie światło biblioteczne
light.tył_biblioteka_warm,Powrót Biblioteka Ciepłe światło
light.kuchnia_coffeecorner_cool,Kuchenny kącik kawowy Fajne światło
light.na_piętrze_pokój_zabaw_zwave,Światło do pokoju zabaw na piętrze
light.na_dole_pokój_zabaw_mqtt,Światło w pokoju zabaw na dole
light.przód_pokój_zabaw_homekit,Przednie oświetlenie pokoju zabaw
light.tył_pokój_zabaw_lifx,Tylne światło do pokoju zabaw
light.jadalnia_żyrandol,Żyrandol do jadalni
light.żyrandol_przedpokój_przedpokój,Żyrandol w przedpokoju
lock.tylne_drzwi,Zamek tylnych drzwi
lock.tylne_drzwi,Zamek wjazdowy na podwórko
lock.piwnica,Zamek w piwnicy
lock.stojak_na_rowery,Zamek bagażnika rowerowego
lock.magazyn_rowerów,Zamek do przechowywania rowerów
lock.szafka_na_akta,Zamek szafki na dokumenty
lock.przód_drzwi_1,Główny zamek wejściowy
lock.drzwi_wejściowe,Zamek drzwi przednich
lock.garaż,Zamek drzwi garażowych
lock.pokój_gościnny,Zamek do pokoju gościnnego
lock.broń_bezpieczna,Blokada pistoletu
lock.skrzynka_pocztowa,Bezpieczna blokada skrzynki pocztowej
lock.główna_sypialnia,Główny zamek do sypialni
lock.żłobek,Zamek do drzwi przedszkola
lock.biuro,Zamek biurowy
lock.drzwi_na_patio,Zamek Drzwi przesuwne na taras
lock.szopa_2,Drugi zamek szopy
lock.szopa_na_narzędzia,Blokada szopy na narzędzia
lock.szopa_na_narzędzia,Zamek szopy na narzędzia
lock.pomieszczenie_gospodarcze,Zamek pomieszczenia gospodarczego
lock.piwnica_na_wino,Zamek do piwnicy na wino
lock.piwnica_na_wino,Zamek do piwnicy z winami
lock.yale_living,Pokój dzienny Yale
lock.joga_pokój,Zamek do pokoju jogi
lock.strych,Zamek drzwi na poddasze
lock.drzwi_balkonu,Zamek dostępu do balkonu
lock.sypialnia_2,Zamek w drugiej sypialni
lock.sypialnia_3,Zamek w trzeciej sypialni
lock.hangar_dla_łodzi,Zamek przy łodzi
lock.gabinet,Zamek drzwi szafy
lock.jadalnia,Zamek do jadalni
lock.podjazd_brama,Zamek bramy wjazdowej
lock.winda,Prywatna blokada windy
lock.furtka,Zamek do furtki
lock.pokój_kartowania,Zamek do pokoju akt
lock.przódowa_brama,Zamek bramy przedniej
lock.brama_ogrodowa,Zamek do bramy ogrodowej
lock.szklarnia,Zamek szklarni
lock.siłownia,Zamek domowej siłowni
lock.przedpokój_garderoba,Zamek do szafy w przedpokoju
lock.kino_domowe,Zamek kina domowego
lock.psiarnia,Zamek do budy dla zwierząt
lock.drzwi_kuchni,Zamek wejściowy do kuchni
lock.pralnia,Zamek do pralni
lock.salon,Zamek do salonu
lock.strych,Zamek na poddaszu
lock.błoto,Zamek błotny
lock.pokój_muzyczny,Zamek do pokoju muzycznego
lock.gabinet_biurowy,Zamek do szafki biurowej
lock.spiżarnia,Zamek do spiżarni
lock.pokój_zabaw,Zamek do pokoju zabaw
lock.drzwi_ganku,Zamek drzwi werandy
lock.tylna_brama,Zamek tylnej bramy
lock.drzwi_dachowe,Zamek dostępu na dachu
lock.sauna,Zamek drzwi do sauny
lock.bezpieczne_przechowywanie,Zamek przechowywalni
lock.wejście_usługi,Zamek wejścia serwisowego
lock.boczne_drzwi,Zamek z bocznym wejściem
lock.boczna_brama,Zamek bramy bocznej
lock.przechowywanie_nart,Zamek do przechowywania nart
lock.brama_schodowa,Zamek do bramy schodowej
lock.magazyn,Zamek do magazynu
lock.studio,Zamek studyjna
lock.solarium,Zamek Sunroom
lock.drzwi_tarasu,Zamek do drzwi tarasowych
lock.brama_pojazdu,Zamek bramy pojazdu
lock.garderoba,Zamek do garderoby
lock.warsztat,Zamek warsztatowy
lock.warsztat_szafka,Zamek do szafki warsztatowej
lock.podwórko_szopa,Zamek do szopy ogrodowej
media_player.telewizor_apple,Odtwarzacz multimedialny Apple TV
media_player.piwnica,Odtwarzacz multimedialny w piwnicy
media_player.bose_sypialnia,Sypialnia Bose
media_player.bose_living,Pokój dzienny firmy Bose
media_player.chrome_cast_sypialnia,Chromecast w sypialni
media_player.chromecasta,Multimedia Chromecast
media_player.echo_dot,Kuchenna Echo dot
media_player.fire_tv_stick,Fire TV Stick
media_player.Fire_tv,Media Fire TV
media_player.garaż,Garażowy odtwarzacz multimedialny
media_player.pokój_gościnny,Media w pokoju gościnnym
media_player.kino_domowe,Media kina domowego
media_player.ipad_kuchnia,Kuchenny iPad
media_player.kuchnia,Kuchenny odtwarzacz multimedialny
media_player.strumień_laptopa,Laptop do transmisji strumieniowej
media_player.salon,Media w salonie
media_player.główna_sypialnia,Media w głównej sypialni
media_player.przełącznik_nintendo,Przełącznik Nintendo
media_player.żłobek,Odtwarzacz multimedialny w żlobku
media_player.biuro,Biurowy odtwarzacz multimedialny
media_player.patio,Odtwarzacz multimedialny na patio
media_player.ps5_living_room,Salon PS5
media_player.roku_sypialnia,Główna sypialnia Roku
media_player.roku_sypialnia,Odtwarzacz Roku w sypialni
media_player.roku_living,Pokój dzienny Roku
media_player.telewizor_samsung,Telewizor w salonie
media_player.sonos_sypialnia,Główna sypialnia Sonos
media_player.sonos_kuchnia,Kuchnia Sonosa
media_player.sonos_kuchnia,Głośnik kuchenny Sonos
media_player.sonos_living,Salon Sonosa
media_player.soundbar_living_room,Soundbar do salonu
media_player.xbox_den,Konsola Xbox
media_player.sony_bravia_tv,Inteligentny telewizor Sony
media_player.telewizor_samsung_qled_tv,Telewizor Samsung
media_player.lg_oled_tv,Telewizor LG
media_player.panasonic_4k_bluray_player,Odtwarzacz Blueray Panasonic
media_player.denon_av_receiver,Amplituner audio-wideo  Denon
media_player.onkyo_tx_sr,Amplituner kina domowego Onkyo
media_player.google_nest_hub,Google nest hub
media_player.amazon_echo_show,Inteligentny ekran Amazon Echo
media_player.apple_tv_4k,Urządzenie Apple do przesyłania strumieniowego
media_player.roku_ultra,Roku o wysokiej wydajności Streamer
media_player.xbox_one,Xbox One
media_player.playstation_5,SonyPS5
media_player.joes_ps5,PS5 Joego
media_player.stacja_dokująca_do_nintendo_switch,Stacja dokująca do konsoli Nintendo
media_player.projektor_sony_4k,Projektor do kina domowego Sony
media_player.epson_home_cinema,Projektor wideo Epsona
media_player.bose_home_głośnik,Głośnik bezprzewodowy Bose
media_player.sonos_beam,Kompaktowy soundbar Sonos
media_player.harman_kardon_aura,Szklany głośnik Harman Kardon
media_player.bang_olufsen_beovision,Wysokiej klasy telewizor B&O
media_player.philips_ambilight_tv,Telewizor Philips z podświetleniem LED
media_player.vizio_smartcast_tv,Telewizor Vizio z obsługą Cast
media_player.sony_ps_lx310bt,Gramofon Bluetooth firmy Sony
media_player.audio_technica_at_lp120,Odtwarzacz audio-technica
media_player.samsung_hw_q90r,Soundbar Samsunga
media_player.sonos_arc,Inteligentny soundbar Sonos
media_player.home_theater_system_living_room,Kino domowe w salonie
media_player.desktop_computer_media_suite,Centrum multimedialne komputera stacjonarnego
media_player.sypialnia_tv_montowana_na_ścianie,Telewizor montowany na ścianie w sypialni
media_player.kuchnia_radio,Odtwarzacz radia kuchennego
media_player.system_głośników_łazienkowych,Wodoodporny głośnik łazienkowy
media_player.garaż_warsztat_stereo,Zestaw stereo do warsztatu garażowego
media_player.głośniki_zewnętrzne_patio,Głośniki zewnętrzne na patio
media_player.piwnica_projektor_setup,System projektorów do piwnicy
media_player.głośniki_biurowe_pc,Głośniki do komputera biurowego
media_player.bedside_alarm_clock_radio,Radiobudzik przy łóżku
media_player.gaming_room_console,Konsola do gier
media_player.salon_hi_fi_system,Salonowy dźwięk Hi-Fi
media_player.dining_room_jukebox,Szafa grająca w jadalni
media_player.gość_pokój_tv_set,Telewizor w pokoju gościnnym
media_player.study_room_audio_book_player,Studiuj odtwarzacz książek audio
media_player.odtwarzacz_cd_sunroom,Odtwarzacz CD firmy Sunroom
media_player.gramofon_poddaszowy_winylowy,Gramofon winylowy na poddaszu
media_player.projektor_podwórkowy_zewnętrzny,Projektor podwórkowy
media_player.wejście_asystent_głosu,Asystent głosowy przy wejściu
media_player.korytarz_głośnik_ścienny,Głośnik ścienny do przedpokoju
switch.oświetlenie_poddasza,Przełącznik oświetlenia na poddaszu
switch.oświetlenie_balkonu,Przełącznik oświetlenia balkonu
switch.światła_piwnicy,Przełącznik oświetlenia piwnicy
switch.łazienka_wentylator,Przełącznik wentylatora łazienkowego
switch.oświetlenie_sypialni,Przełącznik świateł w sypialni
switch.boathouse_lights,Przełącznik świateł w hangarze na łodzie
switch.oświetlenie_szafy,Przełącznik oświetleniem szafy
switch.oświetlenie_ogrodu_zimowego,Przełącznik świateł w oranżerii
switch.światła_pokładowe,Przełącznik oświetlenia pokładu
switch.den_lights,Przełącznik świateł Den
switch.oświetlenie_pokoju_jadalni,Przełącznik świateł w jadalni
switch.światła_podjazdu,Przełącznik oświetleniem podjazdu
switch.oświetlenie_przódowe_bramy,Włącznik świateł w bramie przedniej
switch.światła_przednie_podwórka,Przełącznik świateł przednich podwórek
switch.otwieracz_drzwi_garażowych,Włącznik otwierania drzwi garażowych
switch.oświetlenie_ogrodowe,Sterowanie oświetleniem ogrodu
switch.oświetlenie_pokoju_gościnnego,Przełącznik świateł w pokoju gościnnym
switch.oświetlenie_przedpokoju,Przełącznik świateł w korytarzu
switch.oświetlenie_teatra_domowego,Sterowanie oświetleniem kina domowego
switch.oświetlenie_kuchenne,Przełącznik świateł kuchennych
switch.oświetlenie_pokoju_pralni,Włącznik oświetlenia w pralni
switch.oświetlenie_pokoju_dziennego,Przełącznik oświetlenia w salonie
switch.loft_lights,Przełącznik świateł na poddaszu
switch.master_bedroom_lights,Główny włącznik świateł w sypialni
switch.oświetlenie_biurowe,Włącznik świateł biurowych
switch.oświetlenie_zewnętrzne_bezpieczeństwa,Przełącznik świateł bezpieczeństwa na zewnątrz
switch.spiżarnia_światła,Przełącznik świateł w spiżarni
switch.oświetlenie_patia,Przełącznik oświetlenia patio
switch.światła_pokoju_zabaw,Przełącznik oświetlenia pokoju zabaw
switch.oświetlenie_obszaru_basenu,Sterowanie oświetleniem terenu basenu
switch.światła_ganku,Przełącznik świateł na werandzie
switch.tylne_światła_podwórza,Przełącznik tylnych świateł ogrodowych
switch.światła_sauny,Włącznik oświetlenia sauny
switch.system_bezpieczeństwa,Przełącznik systemu bezpieczeństwa
switch.rzucić_światła,Przełącznik świateł szopy
switch.światła_schodowe,Przełącznik świateł na klatce schodowej
switch.study_room_lights,Przełącznik oświetlenia w pokoju do nauki
switch.światła_słoneczne,Przełącznik świateł w pomieszczeniu słonecznym
switch.oświetlenie_tarasu,Sterowanie oświetleniem tarasu
switch.oświetlenie_podszafkowe,Przełącznik oświetlenia pod szafką
switch.oświetlenie_pokoju_użytkowego,Przełącznik oświetlenia pomieszczenia gospodarczego
switch.światła_chodnika,Przełącznik świateł chodnikowych
switch.oświetlenie_magazynu,Przełącznik świateł magazynu
switch.water_feature_lights,Przełącznik świateł funkcji wodnej
switch.światła_warsztatowe,Przełącznik świateł warsztatowych
switch.jard_floodlights,Przełącznik reflektorów ogrodowych
switch.zoo_obudowa_oświetlenie,Sterowanie oświetleniem zagrody ogrodu zoologicznego
switch.pompa_basenu,Przełącznik pompy basenowej
switch.system_irygacyjny,Przełącznik systemu nawadniania
switch.oświetlenie_warsztatu_garażowego,Przełącznik oświetlenia warsztatu garażowego
climate.gniazdo_learning,Uczący się termostat Nest
climate.ecobee_smart,Inteligentny termostat Ecobee
climate.honeywell_lyric_t6,Honeywell Lyric T6 Pro
climate.emerson_sensi_touch,Termostat Wi-Fi Emerson Sensi Touch
climate.bosch_bcc100,Połączone sterowanie Bosch BCC100
climate.johnson_glas,Johnson steruje inteligentnym termostatem GLAS
climate.termostat_lux_geo,Termostat Lux Geo Wi-Fi
climate.tado_smart,Inteligentny termostat Tado
climate.trane_comfortlink_ii,Trane ComfortLink II XL1050
climate.przewoźnik_kor,Termostat Carrier Cor Wi-Fi
climate.netatmo_smart,Inteligentny termostat Netatmo
climate.sinope_smart,Inteligentny termostat Sinopé
climate.kono_termostat,Inteligentny termostat Kono
climate.mysa_smart_termostat,Inteligentny termostat Mysa do elektrycznych grzejników listwowych
climate.zen_wifi_termostat,Termostat Zen w wersji WiFi
vacuum.salon_pokój_pokojowy,Odkurzacz w salonie
vacuum.kitchen_xiaomi,Odkurzacz Kuchenny
vacuum.piwnica_deebot,Deebot z piwnicy
vacuum.master_bedroom_shark,Odkurzacz w głównej sypialni
vacuum.garaż_roomba_2,Robot sprzątający garaż
vacuum.under_bed_cleaner,Odkurzacz pod łóżkiem
vacuum.przód_hall_samsung,Robot zamiatający przedpokój
vacuum.tył_deck_sweeper,Środek do czyszczenia powierzchni tylnego pokładu
todo.lista_codziennych_zadań,Lista codziennych obowiązków
todo.lista_zakupów_spożywczych,Organizator zakupów spożywczych
todo.projekty_weekendowe,Weekendowa lista projektów
todo.planista_rodziny_wydarzeń,Planista wydarzeń rodzinnych
todo.trening_routine_tracker,Harmonogram rutynowych treningów
todo.kids_homework_deadlines,Terminy prac domowych dzieci
todo.harmonogram_szczepień_zwierząt,Harmonogram szczepień zwierząt domowych
todo.dziennik_konserwacji_samochodu,Narzędzie do śledzenia konserwacji samochodu
todo.lista_przypomnień_urodzinowych,Lista przypomnień o urodzinach
todo.rocznica_planera,Planista wydarzeń rocznicowych
todo.planowanie_wakacji,Asystent planowania wakacji
todo.lista_czytań_książek,Organizator listy lektur
todo.lista_obserwowanych_filmów,Lista obejrzeń wieczoru filmowego
todo.zbiór_przepisów,Zbiór przepisów
todo.planista_remontu_domu,Harmonogram remontów domu
todo.harmonogram_pielęgnacji_ogrodu,Planista pielęgnacji ogrodu
