service,response_starting,response_confirmed,persona,short
climate.set_temperature,Ustawiam temperaturę na <temp_c> stopni.,Temperatura została ustawiona na <temp_c> stopni.,assistant,0
climate.set_temperature,Zmiana temperatury na <temp_c> Celsjusza.,Temperatura została ustawiona na <temp_c> Celsjusza.,assistant,0
climate.set_temperature,Dostosowuję temperaturę do <temp_c> stopni Celsjusza.,Temperatura została ustawiona na <temp_c> stopni Celsjusza.,assistant,0
climate.set_temperature,Ustawiam w pomieszczeniu <temp_c> stopni Celsjusza.,Ustawiono w pomieszczeniu <temp_c> stopni Celsjusza.,assistant,0
climate.set_temperature,Ustawiam temperaturę w pomieszczeniu <temp_c> stopni Celsza w celu uzyskania niższej temperatury.,"Temperatura w pomieszczeniu została ustawiona na <temp_c> stopni Celsza, aby uzyskać niższą temperaturę.",assistant,0
climate.set_temperature,Obniżam temperaturę do <temp_c> stopni Celsjusza.,Temperatura została obniżona do <temp_c> stopni Celsjusza.,assistant,0
climate.set_temperature,Podnoszę temperaturę do <temp_c> stopni Celsjusza.,Temperatura została podniesiona do <temp_c> stopni Celsjusza.,assistant,0
climate.set_temperature,"Zwiększam temperaturę, ustawiam ją na <temp_c> stopni.","Temperatura została zwiększona, ustawiona na <temp_c> stopni.",assistant,0
fan.turn_on,Już włączam wentylator.,Wentylator jest włączony.,assistant,0
fan.turn_on,"Jasne, już włączam wentylator.",Wentylator został włączony.,assistant,0
fan.turn_on,Uruchamiam wentylator.,Wentylator jest już włączony.,assistant,0
fan.turn_off,Wyłączam wentylator zgodnie z żądaniem.,Wentylator wyłączony zgodnie z żądaniem.,assistant,0
fan.turn_off,Wyłączam wentylator.,Wentylator został wyłączony.,assistant,0
fan.toggle,Przełączam stan wentylatora.,Stan wentylatora został przełączony.,assistant,0
fan.turn_off,"OK, wyłączam wentylator.",Wentylator został wyłączony.,assistant,0
fan.toggle,Trwa przełączanie stanu wentylatora.,Stan wentylatora został przełączony.,assistant,0
fan.toggle,Przełączam wentylator.,Wentylator został przełączony.,assistant,0
fan.increase_speed,Zwiększam prędkość wentylatora.,Prędkość wentylatora została zwiększona.,assistant,0
fan.increase_speed,"Jasne, zwiększam prędkość wentylatora.","Gotowe, zwiększyłem prędkość wentylatora.",assistant,0
fan.decrease_speed,Zmniejszam prędkość wentylatora.,Prędkość wentylatora została zmniejszona.,assistant,0
fan.decrease_speed,"Jasne, zmniejszam prędkość wentylatora.","Jasne, prędkość wentylatora została zmniejszona.",assistant,0
fan.decrease_speed,Zaczynam zwalniać wentylator.,Wentylator został zwolniony.,assistant,0
fan.toggle,Zmieniam stan <device_name> teraz.,Stan <device_name> został zmieniony.,assistant,0
fan.toggle,Przełączam stan <device_name> zgodnie z żądaniem.,Stan <device_name> został przełączony.,assistant,0
fan.toggle,Przełączam teraz <device_name>,Przełączono <device_name>,assistant,0
fan.turn_on,Aktywuję teraz <device_name>,Włączono <device_name>,assistant,0
fan.turn_on,Uruchamiam <device_name>.,<device_name> został uruchomiony.,assistant,0
fan.turn_on,Włączam <device_name>.,Włączono <device_name>.,assistant,0
fan.turn_on,"Oczywiście, już uruchamiam <device_name>.","Gotowe, <device_name> jest włączony.",assistant,0
fan.turn_on,Uruchamiam <device_name>.,Uruchomiłem <device_name>.,assistant,0
fan.turn_off,Zatrzymuję <device_name>.,Zatrzymałem <device_name>.,assistant,0
fan.turn_off,Wyłączam <device_name>.,Wyłączono <device_name>.,assistant,0
fan.turn_off,Dezaktywuję <device_name> zgodnie z żądaniem.,Dezaktywowałem <device_name> zgodnie z żądaniem.,assistant,0
fan.turn_off,Już wyłączam <device_name>.,Wyłączono <device_name>.,assistant,0
fan.decrease_speed,Zmniejszam prędkość <device_name>.,Prędkość <device_name> zmniejszona.,assistant,0
fan.decrease_speed,Zaczynam zmniejszać prędkość <device_name> zgodnie z żądaniem,Prędkość <device_name> została zmniejszona zgodnie z żądaniem,assistant,0
fan.decrease_speed,Zwalniam <device_name>,Zwolniłem <device_name>,assistant,0
fan.increase_speed,Rozpoczynam zwiększanie prędkości <device_name>.,Prędkość <device_name> została zwiększona.,assistant,0
fan.increase_speed,Zaczynam zwiększać prędkość <device_name>.,Zwiększono prędkość <device_name>.,assistant,0
fan.increase_speed,Zwiększam prędkość <device_name>.,Prędkość <device_name> została zwiększona.,assistant,0
fan.decrease_speed,Zmniejszam prędkość <device_name>.,Prędkość <device_name> została zmniejszona.,assistant,0
garage_door.open_cover,Rozpoczynam otwieranie bramy garażowej.,Bramę garażową otwarto.,assistant,0
garage_door.open_cover,"Jasne, otwieram bramę garażową.","Jasne, brama garażowa jest już otwarta.",assistant,0
garage_door.close_cover,"Jasne, zamykam bramę garażową.","Jasne, brama garażowa jest zamknięta.",assistant,0
garage_door.close_cover,Zamykanie bramy garażowej.,Bramę garażową zamknięto.,assistant,0
garage_door.close_cover,Zamykam bramę garażową.,Bramę garażową zamknięto.,assistant,0
garage_door.open_cover,Otwieram bramę garażową.,Bramę garażową otwarto.,assistant,0
garage_door.stop_cover,Zatrzymuję bramę garażową.,Bramę garażową zatrzymano.,assistant,0
garage_door.stop_cover,"Jasne, zatrzymuję ruch bramy garażowej.","Jasne, ruch bramy garażowej został zatrzymany.",assistant,0
garage_door.stop_cover,Zatrzymuję bramę garażową.,Zatrzymałem bramę garażową.,assistant,0
garage_door.toggle,Przełączam stan bramy garażowej.,Stan bramy garażowej został przełączony.,assistant,0
garage_door.toggle,Zmieniam stan bramy garażowej.,Stan bramy garażowej został zmieniony.,assistant,0
garage_door.toggle,Przełączam stan bramy garażowej.,Stan bramy garażowej został przełączony.,assistant,0
garage_door.open_cover,Podnoszę <device_name>.,Podniosłem <device_name>.,assistant,0
garage_door.open_cover,Rozpoczynam otwieranie <device_name>.,Udało się otworzyć <device_name>.,assistant,0
garage_door.open_cover,Podnoszę <device_name> zgodnie z żądaniem.,Podniesiono <device_name> zgodnie z żądaniem.,assistant,0
garage_door.stop_cover,Blokuję pozycję <device_name>.,Pozycja <device_name> została zablokowana.,assistant,0
garage_door.stop_cover,Zatrzymywanie operacji <device_name>,Operacja <device_name> została zatrzymana,assistant,0
garage_door.stop_cover,Zaczynam zatrzymywać <device_name>.,Zatrzymywanie <device_name> zakończone.,assistant,0
garage_door.open_cover,Rozpoczynam otwieranie <device_name>.,Otworzyłem <device_name>.,assistant,0
garage_door.close_cover,Zamykam teraz <device_name>,Zamknąłem <device_name>,assistant,0
garage_door.close_cover,Obniżam <device_name> teraz.,Obniżyłem <device_name>.,assistant,0
garage_door.stop_cover,Trwa zatrzymywanie <device_name>.,Zatrzymano <device_name>.,assistant,0
garage_door.toggle,Przełączam stan <device_name> zgodnie z żądaniem.,Stan <device_name> został przełączony zgodnie z żądaniem.,assistant,0
garage_door.close_cover,Zamykam <device_name> teraz.,Zamknięto <device_name> zgodnie z żądaniem.,assistant,0
garage_door.toggle,Zmieniam stan <device_name>.,Stan <device_name> został zmieniony.,assistant,0
garage_door.close_cover,Zamykam <device_name>.,Zamknąłem <device_name>.,assistant,0
light.turn_on,Włączam światło.,Światło włączone.,assistant,0
garage_door.toggle,Przełączam <device_name>.,Przełączono <device_name>.,assistant,0
garage_door.toggle,Przełączam <device_name>.,Przełączono <device_name>.,assistant,0
light.turn_on,"Jasne, włączam światło.",Światło jest włączone.,assistant,0
light.turn_off,Wyłączam światło.,Światło jest wyłączone.,assistant,0
light.turn_off,Wyłączam światła teraz.,Światła zostały wyłączone.,assistant,0
light.turn_on,Zapalam światło.,Światło jest włączone.,assistant,0
light.turn_off,"Jasne, wyłączam światło.",Światło jest wyłączone.,assistant,0
light.toggle,Przełączam światło.,Światło zostało przełączone.,assistant,0
light.toggle,Zmieniam stan światła.,Światło zostało przełączone.,assistant,0
light.toggle,Przełączam stan <device_name>,Przełączyłem stan <device_name>,assistant,0
light.toggle,Przełączam światło.,Światło zostało przełączone.,assistant,0
light.toggle,Przełączam <device_name>.,Przełączono <device_name>.,assistant,0
light.toggle,Przełączam stan <device_name> zgodnie z żądaniem.,Stan <device_name> został przełączony zgodnie z żądaniem.,assistant,0
light.turn_on,Włączam <device_name> teraz.,Włączono <device_name>.,assistant,0
light.turn_on,Aktywacja <device_name> rozpoczęta,Aktywacja <device_name> zakończona,assistant,0
light.turn_on,"Oczywiście, już włączam <device_name>.","Gotowe, <device_name> jest włączone.",assistant,0
light.toggle,Przełączam <device light.toggle>.,Przełączono <device light.toggle>.,assistant,0
light.turn_on,Włączam <device_name>.,Włączono <device_name>.,assistant,0
light.turn_on,Ustawiam jasność <device_name> na <brightness>%.,Jasność <device_name> została ustawiona na <brightness>%.,assistant,0
light.turn_on,Dostosowuję jasność <device_name> do <brightness>.,Jasność <device_name> została dostosowana do <brightness>.,assistant,0
light.turn_on,Włączam światło w pokoju.,Światło w pokoju zostało włączone.,assistant,0
light.turn_on,Rozjaśnianie <device_name> do <brightness>%...,Rozjaśnianie <device_name> do <brightness>% zakończone.,assistant,0
light.turn_on,Przyciemniam <device_name> do <brightness>% jasności.,Przyciemniono <device_name> do <brightness>% jasności.,assistant,0
light.turn_on,Zwiększam jasność <device_name> do <brightness>.,Jasność <device_name> została zwiększona do <brightness>.,assistant,0
light.turn_on,Ustawiam <device_name> na <brightness>% jasności.,Ustawiono <device_name> na <brightness>% jasności.,assistant,0
light.turn_on,Obniżam jasność <device_name> do <brightness>.,Jasność <device_name> została obniżona do <brightness>.,assistant,0
light.turn_on,Ustawiam poziom jasności <device_name> na <brightness>%.,Ustawiono poziom jasności <device_name> na <brightness>%.,assistant,0
light.turn_on,Włączam <device_name> <color>.,Włączono <device_name> <color>.,assistant,0
light.turn_on,Zmieniam kolor <device_name> na <color>.,Kolor <device_name> został zmieniony na <color>.,assistant,0
light.turn_on,Zmieniam odcień <device_name> na <color>.,Odcień <device_name> został zmieniony na <color>.,assistant,0
light.turn_on,Ustawiam <device_name> na <color>.,Ustawiono <device_name> na <color>.,assistant,0
light.turn_on,Ustawiam <device_name> na <color>.,Ustawiono <device_name> na <color>.,assistant,0
light.turn_on,"Sprawiam, że <device_name> zabłyśnie w <color>.",Teraz <device_name> zabłyśnie w <color>.,assistant,0
light.turn_on,Ustawiam <device_name> na kolor <color>.,Ustawiono <device_name> na kolor <color>.,assistant,0
light.turn_on,Zmieniam <device_name.turn_on> na odcień <color>.,Zmieniono <device_name.turn_on> na odcień <color>.,assistant,0
light.turn_on,Zaraz <device_name> zacznie świecić <color>.,<device_name> teraz świeci <color>.,assistant,0
light.turn_on,Zamieniam <device_name> na <color>.,Zmieniono <device_name> na <color>.,assistant,0
light.turn_on,Dostosowuję kolor <device_name> do <color>.,Kolor <device_name> został ustawiony na <color>.,assistant,0
light.turn_on,Zmiana <device_name> na <color> w trakcie.,Zmiana <device_name> na <color> zakończona.,assistant,0
light.turn_on,Przełączam kolor <device_name> na <color>.,Kolor <device_name> został zmieniony na <color>.,assistant,0
light.turn_on,Włączam <device_name> i wyświetlam światło <color>.,Włączono <device_name> i wyświetlono światło <color>.,assistant,0
light.turn_on,Ustawiam kolor <device_name> na <color>.,Ustawiono kolor <device_name> na <color>.,assistant,0
light.turn_off,Wyłączam teraz <device_name>,Wyłączono <device_name>.,assistant,0
light.turn_on,Ustawiam <device_name> w <color>.,Ustawiono <device_name> w <color>.,assistant,0
light.turn_off,Dezaktywuję <device_name> zgodnie z żądaniem.,Dezaktywowałem <device_name> zgodnie z żądaniem.,assistant,0
light.turn_off,Dezaktywuję <device_name>.,Dezaktywacja <device_name> zakończona.,assistant,0
light.turn_off,"Jasne, już wyłączam <device_name>.","Jasne, <device_name> jest wyłączone.",assistant,0
lock.lock,"Jasne, zamykam zamek.",Zamek został zamknięty.,assistant,0
light.turn_off,Wyłączam <device_name>,Wyłączono <device_name>,assistant,0
lock.unlock,Odblokowuję drzwi zgodnie z prośbą.,Drzwi zostały odblokowane zgodnie z prośbą.,assistant,0
lock.unlock,Rozpoczynam otwieranie drzwi.,Drzwi są już otwarte.,assistant,0
lock.lock,Blokuję <device_name> teraz.,Zablokowałem <device_name>.,assistant,0
lock.lock,Blokuję <device_name>.,Zablokowano <device_name>.,assistant,0
lock.unlock,"Jasne, otwieram drzwi.",Drzwi są już otwarte.,assistant,0
lock.lock,Zabezpieczam <device_name>.,Zabezpieczono <device_name>.,assistant,0
lock.unlock,Wyłączam blokadę na <device_name>.,Blokada na <device_name> została wyłączona.,assistant,0
lock.unlock,Wyłączam zabezpieczenie <device_name>.,Zabezpieczenie <device_name> zostało wyłączone.,assistant,0
lock.lock,Zabezpieczanie <device_name>.,Zabezpieczono <device_name>.,assistant,0
lock.unlock,Odblokowuję teraz <device_name>,Odblokowałem <device_name>,assistant,0
media_player.turn_on,"Jasne, włączam odtwarzacz multimedialny.",Odtwarzacz multimedialny jest już włączony.,assistant,0
lock.unlock,Odblokowywanie <device_name>...,Odblokowano <device_name>.,assistant,0
media_player.turn_on,Włączam odtwarzacz multimedialny.,Odtwarzacz multimedialny jest włączony.,assistant,0
media_player.turn_on,Uruchamiam odtwarzacz multimedialny.,Odtwarzacz multimedialny jest już włączony.,assistant,0
media_player.turn_off,"Jasne, wyłączam odtwarzacz multimedialny.","Jasne, odtwarzacz multimedialny został wyłączony.",assistant,0
media_player.turn_off,Wyłączam odtwarzacz multimedialny zgodnie z żądaniem.,Odtwarzacz multimedialny został wyłączony zgodnie z żądaniem.,assistant,0
media_player.turn_off,Wyłączam odtwarzacz multimedialny.,Odtwarzacz multimedialny został wyłączony.,assistant,0
media_player.toggle,Przełączam odtwarzacz multimedialny.,Odtwarzacz multimedialny został przełączony.,assistant,0
media_player.volume_up,Zwiększam głośność.,Głośność zwiększona.,assistant,0
media_player.toggle,Przełączam odtwarzacz multimedialny.,Odtwarzacz multimedialny został przełączony.,assistant,0
media_player.volume_up,"Jasne, zwiększam głośność.","Jasne, zwiększyłem głośność.",assistant,0
media_player.toggle,Trwa przełączanie stanu odtwarzacza multimedialnego.,Stan odtwarzacza multimedialnego został przełączony.,assistant,0
media_player.volume_up,Zwiększam głośność.,Głośność została zwiększona.,assistant,0
media_player.volume_down,Już przyciskam głośność.,Głośność została przyciszona.,assistant,0
media_player.volume_down,"Jasne, zmniejszam głośność.","Jasne, głośność została zmniejszona.",assistant,0
media_player.volume_down,Zaczynam zmniejszać głośność zgodnie z Twoją prośbą.,Głośność została zmniejszona zgodnie z Twoją prośbą.,assistant,0
media_player.volume_mute,Wyciszam głośność...,Głośność wyciszona.,assistant,0
media_player.volume_mute,Wyciszam odtwarzacz multimedialny.,Odtwarzacz multimedialny został wyciszony.,assistant,0
media_player.volume_mute,"Jasne, wyciszam głośność.","Jasne, głośność wyciszona.",assistant,0
media_player.media_play_pause,Pauzuję odtwarzacz multimedialny.,Odtwarzacz multimedialny jest już wstrzymany.,assistant,0
media_player.media_play_pause,Przełączam pomiędzy odtwarzaniem i pauzą.,Przełączono pomiędzy odtwarzaniem i pauzą.,assistant,0
media_player.media_play_pause,Przełączam się między odtwarzaniem a pauzą.,Przełączono między odtwarzaniem a pauzą.,assistant,0
media_player.media_play,Rozpoczynam odtwarzanie multimediów.,Multimedia zostało odtworzone.,assistant,0
media_player.media_play,Rozpoczynam odtwarzanie multimediów.,Multimedia odtwarzane pomyślnie.,assistant,0
media_player.media_play,"Jasne, odtwarzam już.","Jasne, odtwarzanie już się rozpoczęło.",assistant,0
media_player.media_pause,Wstrzymuję odtwarzanie multimediów.,Wstrzymano odtwarzanie multimediów.,assistant,0
media_player.media_pause,Wstrzymuję media.,Media zostały wstrzymane.,assistant,0
media_player.media_pause,"Jasne, wstrzymuję odtwarzanie.","Jasne, odtwarzanie zostało wstrzymane.",assistant,0
media_player.media_stop,Zatrzymuję odtwarzanie multimediów.,Odtwarzanie multimediów zostało zatrzymane.,assistant,0
media_player.media_stop,Zatrzymuję media.,Media zostały zatrzymane.,assistant,0
media_player.media_stop,"Jasne, wstrzymuję odtwarzanie.","Jasne, odtwarzanie zostało wstrzymane.",assistant,0
media_player.media_next_track,Przechodzę do następnego utworu.,Następny utwór został odtworzony.,assistant,0
media_player.media_next_track,"Jasne, już przechodzę do następnego utworu.","Jasne, przełączyłam się na następny utwór.",assistant,0
media_player.media_next_track,Przejście do następnego utworu.,Przejśćie do następnego utworu. Gotowe.,assistant,0
media_player.media_previous_track,Wracam do poprzedniego utworu.,Wróciłem do poprzedniego utworu.,assistant,0
media_player.media_previous_track,Wracam do poprzedniego utworu...,Wróciłem do poprzedniego utworu.,assistant,0
media_player.media_previous_track,"Jasne, już wracam do poprzedniego utworu.",Wróciłem do poprzedniego utworu.,assistant,0
media_player.volume_up,Zwiększam głośność <device_name>.,Głośność <device_name> została zwiększona.,assistant,0
media_player.volume_up,Zwiększam głośność urządzenia <device_name>.,Głośność urządzenia <device_name> zwiększona.,assistant,0
media_player.media_play,Rozpoczęcie odtwarzania na <device_name>.,Odtwarzanie na <device_name> zostało uruchomione.,assistant,0
media_player.media_play,Odtwarzam multimedia na <device_name>.,Multimedia zostało odtworzone na <device_name>.,assistant,0
media_player.media_play,Zaczynam odtwarzać <device_name>.,Odtwarzanie <device_name> zostało uruchomione.,assistant,0
media_player.media_stop,Zatrzymuję <device_name>.,Zatrzymano <device_name>.,assistant,0
media_player.media_stop,Zatrzymuję odtwarzanie na <device_name>.,Odtwarzanie zostało zatrzymane na <device_name>.,assistant,0
media_player.volume_down,Zmniejszam głośność urządzenia <device_name>.,Głośność urządzenia <device_name> została zmniejszona.,assistant,0
media_player.volume_down,Zmniejszam głośność urządzenia <device_name>.,Głośność urządzenia <device_name> została zmniejszona.,assistant,0
media_player.volume_down,Wyłączam <device_name>.,Wyłączono <device_name>.,assistant,0
media_player.media_stop,Kończę sesję na <device_name>.,Sesja na <device_name> została zakończona.,assistant,0
media_player.volume_mute,Wyciszam <device_name>.,<device_name> jest wyciszony.,assistant,0
media_player.volume_mute,Wyciszanie <device_name> w toku.,Wyciszyłem <device_name>.,assistant,0
media_player.volume_mute,Wyciszam teraz <device_name>.,Wyciszyłem <device_name>.,assistant,0
media_player.media_pause,Wstrzymuję <device_name>.,<device_name> zostało wstrzymane.,assistant,0
media_player.media_pause,Wstrzymuję teraz <device_name>.,Wstrzymałem <device_name>.,assistant,0
media_player.media_pause,Wstrzymuję odtwarzanie na <device_name>.,Odtwarzanie zostało wstrzymane na <device_name>.,assistant,0
media_player.media_next_track,Przechodzę do następnego utworu na <device_name>.,Następny utwór już gra na <device_name>.,assistant,0
media_player.media_next_track,Pomijam ten utwór na <device_name>.,Utwór został pominięty na <device_name>.,assistant,0
media_player.media_next_track,Przechodzę do następnego utworu na <device_name>.,Teraz gra następny utwór na <device_name>.,assistant,0
media_player.media_previous_track,Wracam do poprzedniego utworu na <device_name>.,Wróciłem do poprzedniego utworu na <device_name>.,assistant,0
switch.turn_on,"Jasne, już włączam światło.","Jasne, światło jest włączone.",assistant,0
media_player.media_previous_track,Przewijam do poprzedniego utworu na urządzeniu <device_name>.,Przewinięto do poprzedniego utworu na urządzeniu <device_name>.,assistant,0
media_player.media_previous_track,Wracam do utworu na <device_name>.,Wróciłem do utworu na <device_name>.,assistant,0
switch.turn_on,Włączam przełącznik.,Przełącznik został włączony.,assistant,0
switch.turn_off,Wyłączam przełącznik.,Przełącznik został wyłączony.,assistant,0
switch.turn_off,Wyłączam urządzenie.,Urządzenie zostało wyłączone.,assistant,0
switch.turn_off,"Jasne, wyłączam przełącznik.",Przełącznik został wyłączony.,assistant,0
switch.toggle,Przełączam przełącznik.,Przełącznik został przełączony.,assistant,0
switch.toggle,Przełączanie <device_name>.,<device_name> został przełączony.,assistant,0
switch.toggle,"Tak, właśnie przełączam <device_name>.","Gotowe, <device_name> został przełączony.",assistant,0
switch.toggle,"Tak, przełączam <device_name>.",Przełączenie <device_name> zakończone.,assistant,0
switch.toggle,Zmiana stanu <device_name> w toku.,Stan <device_name> został zmieniony.,assistant,0
switch.toggle,Przełączam <device_name> zgodnie z żądaniem.,Przełączono <device_name> zgodnie z żądaniem.,assistant,0
switch.turn_on,Włączam <device_name>.,Włączono <device_name>.,assistant,0
switch.toggle,Szybko przełączam <device_name>.,Szybko przełączono <device_name>.,assistant,0
switch.turn_on,Włączam <device_name>.,Włączono <device_name>.,assistant,0
switch.turn_on,Aktywuję <device_name>.,Udało się włączyć <device_name>.,assistant,0
switch.turn_on,"Jasne, już włączam <device_name>.","Jasne, <device_name> został włączony.",assistant,0
switch.turn_on,Włączam <device_name>.,Włączono <device_name>.,assistant,0
switch.turn_on,"Jasne, włączam <device_name>.","Jasne, <device_name> został włączony.",assistant,0
switch.turn_on,W razie potrzeby włączam <device_name>.,W razie potrzeby włączono <device_name>.,assistant,0
switch.turn_off,Wyłączam <device_name>.,Wyłączono <device_name>.,assistant,0
switch.turn_off,Dezaktywuję <device_name>.,Dezaktywacja <device_name> zakończona.,assistant,0
switch.turn_off,Wyłączanie <device_name>...,Wyłączono <device_name>.,assistant,0
switch.turn_off,"OK, wyłączam <device_name>.","OK, <device_name> został wyłączony.",assistant,0
switch.turn_off,Wyłączam <device_name> na czas snu.,Wyłączono <device_name> na czas snu.,assistant,0
switch.turn_off,Wyłączam teraz <device_name>.,Wyłączono <device_name>.,assistant,0
switch.turn_off,Już wyłączam <device_name>.,Wyłączono <device_name>.,assistant,0
blinds.close_cover,Opuszczanie <device_name> w toku.,Opuszczono <device_name>.,assistant,1
blinds.close_cover,Zamykam <device_name>.,<device_name> zamknięte.,assistant,1
blinds.close_cover,Zamykam <device_name>.,Zamknięto <device_name>.,assistant,1
blinds.open_cover,Podnoszę <device_name>.,Podniosłem <device_name>.,assistant,1
blinds.open_cover,Podnoszę <device_name>.,Podniosłem <device_name>.,assistant,1
blinds.open_cover,Otwieram <device_name>.,<device_name> jest otwarty.,assistant,1
fan.decrease_speed,spowalnianie <device_name>...,spowolniono <device_name>.,assistant,1
fan.decrease_speed,Zmniejszam prędkość <device_name>.,Prędkość <device_name> została zmniejszona.,assistant,1
fan.decrease_speed,Zmniejszam <device_name>.,Zmniejszono <device_name>.,assistant,1
fan.increase_speed,Przyspieszam <device_name>,Przyspieszenie <device_name> zakończone,assistant,1
fan.increase_speed,Zwiększam prędkość <device_name>.,Prędkość <device_name> została zwiększona.,assistant,1
fan.increase_speed,Zwiększam wydajność <device_name>.,Wydajność <device_name> została zwiększona.,assistant,1
fan.toggle,Przełączam <device_name>.,Przełączono <device_name>.,assistant,1
fan.toggle,Przerzucam <device_name>.,Przerzuciłem <device_name>.,assistant,1
fan.turn_off,Zatrzymuję <device_name>.,Zatrzymałem <device_name>.,assistant,1
fan.turn_off,wyłączanie <device_name>,wyłączono <device_name>,assistant,1
fan.turn_off,Rozpoczynam dezaktywację <device_name>.,Dezaktywacja <device_name> zakończona.,assistant,1
fan.turn_on,Uruchamiam <device_name>.,Uruchamianie <device_name> zakończone.,assistant,1
fan.turn_on,Aktywuję <device_name>.,<device_name> został aktywowany.,assistant,1
garage_door.close_cover,Zamykam <device_name>.,Zamknięto <device_name>.,assistant,1
garage_door.close_cover,Zamykanie <device_name>...,Zamknięto <device_name>.,assistant,1
garage_door.open_cover,Rozpoczynam otwieranie <device_name>,<device_name> został otwarty,assistant,1
garage_door.close_cover,Dezaktywacja <device_name> rozpoczęta.,Dezaktywacja <device_name> zakończona.,assistant,1
garage_door.open_cover,podnoszenie <device_name>...,podniesiono <device_name>.,assistant,1
garage_door.stop_cover,Zatrzymuję <device_name>.,Zatrzymałem <device_name>.,assistant,1
light.toggle,Przełączanie <device_name>...,Przełączono <device_name>.,assistant,1
light.toggle,Przerzucam <device_name>.,Przerzuciłem <device_name>.,assistant,1
light.turn_off,Wyłączam <device_name>.,Wyłączono <device_name>.,assistant,1
light.turn_off,Opuszczam <device_name>.,Opuszczono <device_name>.,assistant,1
light.turn_off,Dezaktywuję <device_name>.,Dezaktywacja <device_name> zakończona.,assistant,1
light.turn_off,Wyłączam <device_name>.,Wyłączono <device_name>.,assistant,1
light.turn_on,Włączanie <device_name>.,Włączono <device_name>.,assistant,1
light.turn_on,Włączam <device_name>.,Włączono <device_name>.,assistant,1
light.turn_on,Włączam oba urządzenia <device_name>.,Oba urządzenia <device_name> zostały włączone.,assistant,1
