service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
climate.set_temperature,climate.termostat_lux_geo,Termostat Lux Geo Wi-Fi,climate.lux_termostat_geo,Ustaw temperaturę na <temp_f> stopni,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.lux_termostat_geo', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z Termostatem Lux Geo.
light.turn_on,light.tył_washroom_lifx,Tylne światło toalety,light.tyl_washroom_lifx,Włącz tylne światło toalety.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.tyl_washroom_lifx', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z prawidłowym urządzeniem light.tył_washroom_lifx.
switch.turn_on,switch.den_lights,Przełącznik świateł Den,switch.den_lightz,Włącz przełącznik świateł Den,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.den_lightz', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z prawidłowym przełącznikiem.
blinds.stop_cover,blinds.piwnica,Żaluzje piwniczne,blinds.piwnicza,Zatrzymaj żaluzje w piwnicy.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.piwnicza', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z urządzeniem blinds.piwnica.
switch.turn_on,switch.oświetlenie_pokoju_dziennego,Przełącznik oświetlenia w salonie,switch.oświetlenie_pokoju_dziennego_extra,"Włącz oświetlenie w salonie, proszę.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.oświetlenie_pokoju_dziennego_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję włączyć właściwy przełącznik oświetlenia w salonie.
lock.unlock,lock.yale_living,Pokój dzienny Yale,lock.yale_livng,Odblokuj drzwi w pokoju dziennym.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.yale_livng', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z prawidłowym urządzeniem lock.yale_living.
switch.turn_on,switch.oświetlenie_biurowe,Włącznik świateł biurowych,switch.oświetlenie_biuro,Proszę włącz światła w biurze,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.oświetlenie_biuro', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym przełącznikiem.
lock.lock,lock.jadalnia,Zamek do jadalni,lock.jadalniak,Zamknij zamek w jadalni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.jadalniak', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję ponownie z właściwym urządzeniem lock.jadalnia.
media_player.volume_up,media_player.ps5_living_room,Salon PS5,media_player.ps5_salon_room,Zwiększ głośność w salonie PS5.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.ps5_salon_room', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym urządzeniem.
media_player.media_play_pause,media_player.strumień_laptopa,Laptop do transmisji strumieniowej,media_player.laptop_strumień,Wstrzymaj odtwarzanie na Laptopie do transmisji strumieniowej.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.laptop_strumień', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym urządzeniem: media_player.strumień_laptopa.
climate.set_temperature,climate.termostat_lux_geo,Termostat Lux Geo Wi-Fi,climate.lux_termostat_geo,Ustaw temperaturę na <temp_f> stopni.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.lux_termostat_geo', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z Termostatem Lux Geo.
fan.turn_on,fan.żłobek,Wentylatpor w żlobku,fan.żłobek_sala,"Włącz wentylator w żłobku, proszę.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.żłobek_sala', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję włączyć wentylator w żłobku.
garage_door.open_cover,garage_door.sprzęt_trawnikowy,Drzwi do sprzętu trawnikowego,garage_door.trawnikowy_sprzęt,Otwórz pokrywę drzwi do sprzętu trawnikowego,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.trawnikowy_sprzęt', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym urządzeniem.
vacuum.stop,vacuum.salon_pokój_pokojowy,Odkurzacz w salonie,vacuum.salon_pokój,Zatrzymaj odkurzacz w salonie.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.salon_pokój', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z odkurzaczem w salonie (vacuum.salon_pokój_pokojowy).
lock.lock,lock.boczna_brama,Zamek bramy bocznej,lock.boczna_brama_s,Zamknij bramę boczną.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.boczna_brama_s', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z zamkiem bramy bocznej.
garage_door.toggle,garage_door.wózek_golfowy,Drzwi do wózka golfowego,garage_door.wózek_golf,Przełącz drzwi do wózka golfowego.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.wózek_golf', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z urządzeniem garage_door.wózek_golfowy.
fan.toggle,fan.mistrz_kąpiel,Główny wentylator łazienkowy,fan.mistrz_kąpielowy,Włącz główny wentylator łazienkowy,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.mistrz_kąpielowy', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym wentylatorem.
switch.toggle,switch.światła_pokoju_zabaw,Przełącznik oświetlenia pokoju zabaw,switch.światła_pokoju_zaba,Przełącz światła w pokoju zabaw.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.światła_pokoju_zaba', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym przełącznikiem.
blinds.stop_cover,blinds.korytarz_1,Pierwsze rolety w przedpokoju,blinds.korytarz_1a,Zatrzymaj rolety w przedpokoju,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.korytarz_1a', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję ponownie z właściwym urządzeniem.
light.toggle,light.parter_balkon_mqtt,Światło na balkonie na dole,light.parterbalkon_mqtt,Włącz światło na balkonie na dole,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.parterbalkon_mqtt', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję ponownie z prawidłowym urządzeniem.
switch.turn_off,switch.oświetlenie_poddasza,Przełącznik oświetlenia na poddaszu,switch.oświetlenie_poddasza_ekstra,Wyłącz oświetlenie na poddaszu,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.oświetlenie_poddasza_ekstra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję wyłączyć przełącznik oświetlenia na poddaszu.
switch.turn_off,switch.otwieracz_drzwi_garażowych,Włącznik otwierania drzwi garażowych,switch.drzwi_otwieracz_garażowych,Wyłącz włącznik otwierania drzwi garażowych,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.drzwi_otwieracz_garażowych', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Spróbuję wyłączyć właściwy przełącznik.
media_player.volume_down,media_player.bang_olufsen_beovision,Wysokiej klasy telewizor B&O,media_player.bang_olufsen_beovision_tv,Ścisz głośność w telewizorze Bang & Olufsen.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.bang_olufsen_beovision_tv', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Już próbuję z właściwym urządzeniem media_player.bang_olufsen_beovision.
