device_type,service,phrase,multiplier
vacuum,stop,Detenga la tarea actual de <device_name>,2
vacuum,stop,"Por favor, detenga <device_name>",2
vacuum,stop,¿Puedes hacer que <device_name> se detenga?,2
vacuum,stop,Detenga la limpieza de <device_name>.,2
vacuum,pause,Congela la tarea actual de <device_name>.,2
vacuum,pause,¿Te importaría pausar <device_name> por un momento?,2
vacuum,pause,"Oye, ¿podemos poner <device_name> en pausa, por favor?",2
vacuum,pause,Pausar la limpieza de <device_name>.,2
vacuum,pause,Pausar <device_name>,2
vacuum,return_to_base,Envíe <device_name> de regreso a su base.,2
vacuum,return_to_base,"Por favor, envíe <device_name> de vuelta a su base, si así lo desea.",2
vacuum,return_to_base,"Es hora de volver a casa, <device_name>. ¿Puedes devolver la llamada?",2
vacuum,return_to_base,Dirija a <device_name> a la base.,2
vacuum,return_to_base,Devuelva <device_name> a su estación de carga.,2
todo,add_item,Agregue <todo> a mi <device_name>.,8
todo,add_item,¿Puedes agregar <todo> al <device_name>?,8
todo,add_item,Necesito agregar <todo> a mi <device_name>.,8
todo,add_item,Continúe y agregue <todo> al <device_name>.,8
todo,add_item,¿Podrías ingresar <todo> en mi <device_name>?,8
todo,add_item,Por favor inserte <todo> en el <device_name>.,8
todo,add_item,¿Puedo solicitar que <todo> se incluya en <device_name>?,8
todo,add_item,Se agradecería mucho que se pudiera colocar <todo> en <device_name>.,8
todo,add_item,¿Agregamos <todo> a mi <device_name>?,8
todo,add_item,"Agreguemos <todo> al <device_name>""",8
todo,add_item,¿Podrías colocar <todo> en mi <device_name>?,8
todo,add_item,¿Será tan amable de incorporar <todo> al <device_name>?,8
todo,add_item,¿Es posible incluir <todo> en <device_name>?,8
todo,add_item,¿Podríamos agregar <todo> a mi <device_name>?,8
timer,start,Configure mi <device_name> para <duration>.,8
timer,start,Active el temporizador <device_name> durante <duration>.,8
timer,start,Establezca el <device_name> para <duration>.,8
timer,start,Inicie el temporizador <device_name> durante <duration>.,8
timer,start,Establezca una <duration> <device_name>.,8
timer,cancel,Cancele el temporizador <device_name>.,8
timer,cancel,"Por favor, detenga mi <device_name>.",8
timer,cancel,Apague el <device_name>.,8
timer,cancel,Apague el temporizador <device_name>.,8
timer,cancel,El <device_name> ya no es necesario.,8
