service,response_starting,response_confirmed,persona,short
light.turn_on,Haciendo que <device_name> muestre una luz <color>.,"Listo, <device_name> ahora muestra una luz <color>.",assistant,0
light.turn_on,Configurando <device_name> en <color>.,He configurado <device_name> en <color>.,assistant,0
light.turn_off,Desactivando <device_name> ahora.,He desactivado <device_name> según lo solicitado.,assistant,0
light.turn_off,"Claro, apagando <device_name> ahora.","Listo, <device_name> está apagado.",assistant,0
light.turn_off,Apagando <device_name> ahora.,<device_name> está apagado.,assistant,0
light.turn_on,Estableciendo el color <device_name> en <color>...,El color de <device_name> está ahora en <color>.,assistant,0
light.turn_off,Apagando <device_name>.,<device_name> apagado.,assistant,0
lock.lock,Cerrando la puerta ahora.,La puerta está cerrada.,assistant,0
light.turn_off,Desactivando <device_name> ahora.,He desactivado <device_name>.,assistant,0
lock.lock,"Claro, asegurando la cerradura ahora.","Listo, la cerradura está asegurada.",assistant,0
lock.lock,Seguiré adelante y estoy cerrando la puerta.,La puerta está cerrada.,assistant,0
lock.unlock,Abriendo la puerta ahora.,La puerta está abierta.,assistant,0
lock.unlock,Abriendo la puerta ahora.,La puerta ya está abierta.,assistant,0
lock.lock,Activando bloqueo en <device_name> ahora.,Bloqueo activado en <device_name>.,assistant,0
lock.unlock,"Claro, estoy abriendo la puerta.","Listo, la puerta está abierta.",assistant,0
lock.lock,Protegiendo <device_name> para usted.,He protegido <device_name> para usted.,assistant,0
lock.lock,Protegiendo <device_name>.,<device_name> está protegido.,assistant,0
lock.lock,Bloqueando <device_name> ahora.,<device_name> está bloqueado.,assistant,0
lock.unlock,Desactivando el bloqueo en <device_name>.,El bloqueo en <device_name> ha sido desactivado.,assistant,0
lock.lock,Bloqueando <device_name> ahora.,<device_name> está bloqueado.,assistant,0
lock.unlock,Desbloqueando <device_name> ahora.,<device_name> está desbloqueado.,assistant,0
lock.unlock,Desprotegiendo <device_name> por usted,He desprotegido <device_name> por usted,assistant,0
media_player.turn_on,Encendiendo el reproductor multimedia ahora.,El reproductor multimedia está encendido.,assistant,0
media_player.turn_on,Poniendo en marcha el reproductor multimedia.,El reproductor multimedia está en marcha.,assistant,0
media_player.turn_on,"Claro, activando el reproductor multimedia.","Listo, el reproductor multimedia está activado.",assistant,0
media_player.turn_off,Apagando el reproductor multimedia según lo solicitado.,El reproductor multimedia ha sido apagado.,assistant,0
media_player.turn_off,Apagando el reproductor multimedia.,He apagado el reproductor multimedia.,assistant,0
media_player.turn_off,"Claro, estoy desactivando el reproductor multimedia.","Listo, el reproductor multimedia está desactivado.",assistant,0
media_player.toggle,Alternando el reproductor multimedia ahora.,El reproductor multimedia ha sido alternado.,assistant,0
lock.unlock,Desbloqueando <device_name>...,<device_name> desbloqueado.,assistant,0
media_player.toggle,Cambiando el estado del reproductor multimedia.,El estado del reproductor multimedia ha sido cambiado.,assistant,0
media_player.volume_up,Aumentando el volumen ahora.,El volumen ha sido aumentado.,assistant,0
media_player.toggle,Cambiando el reproductor multimedia.,El reproductor multimedia ha sido cambiado.,assistant,0
media_player.volume_up,"Claro, subiendo el volumen ahora.","Claro, el volumen ya está subido.",assistant,0
media_player.volume_up,Subiendo el volumen ahora.,El volumen está ahora subido.,assistant,0
media_player.volume_down,Bajando el volumen por ti.,He bajado el volumen por ti.,assistant,0
media_player.volume_down,Reduciendo el volumen ahora.,Volumen reducido según lo solicitado.,assistant,0
media_player.volume_down,"Claro, bajando el volumen ahora.","Claro, el volumen ha sido bajado.",assistant,0
media_player.volume_mute,Silenciando el volumen por ti.,El volumen está silenciado.,assistant,0
media_player.volume_mute,Silenciando el reproductor multimedia ahora.,He silenciado el reproductor multimedia.,assistant,0
media_player.volume_mute,"Claro, estoy silenciando el volumen.","Listo, el volumen está silenciado.",assistant,0
media_player.media_play_pause,Alternando reproducción/pausa en el reproductor multimedia.,Reproducción/pausa alternada en el reproductor multimedia.,assistant,0
media_player.media_play_pause,Cambiando entre reproducción y pausa.,He cambiado entre reproducción y pausa.,assistant,0
media_player.media_play_pause,Alternando entre reproducir y pausar ahora.,"Listo, he alternado entre reproducir y pausar por ti.",assistant,0
media_player.media_play,Iniciando la reproducción multimedia.,Reproducción multimedia iniciada.,assistant,0
media_player.media_play,Estoy empezando a reproducir los medios por ti.,Los medios ya están reproduciéndose.,assistant,0
media_player.media_play,"Claro, iniciando la reproducción.","Claro, la reproducción ha comenzado.",assistant,0
media_player.media_pause,Pausando los medios por ti.,Los medios están pausados.,assistant,0
media_player.media_pause,Pausando la reproducción multimedia.,La reproducción multimedia está pausada.,assistant,0
media_player.media_pause,"Claro, pausando la reproducción ahora.",He pausado la reproducción.,assistant,0
media_player.media_stop,Deteniendo la reproducción multimedia ahora.,La reproducción multimedia se ha detenido.,assistant,0
media_player.media_stop,Deteniendo los medios por ti.,He detenido los medios por ti.,assistant,0
media_player.media_next_track,Saltando a la siguiente pista.,Se ha saltado a la siguiente pista.,assistant,0
media_player.media_stop,"Claro, deteniendo la reproducción.","Claro, la reproducción se ha detenido.",assistant,0
media_player.media_next_track,Voy a la siguiente pista por ti.,Ya estoy en la siguiente pista.,assistant,0
media_player.media_next_track,"Claro, pasando a la siguiente pista ahora.","Claro, ya pasé a la siguiente pista.",assistant,0
media_player.media_previous_track,Volviendo a la pista anterior para ti.,He vuelto a la pista anterior.,assistant,0
media_player.media_previous_track,Volviendo a la pista anterior ahora.,Ya estoy en la pista anterior.,assistant,0
media_player.media_previous_track,"Claro, volviendo a la pista anterior...",He vuelto a la pista anterior.,assistant,0
media_player.volume_up,Aumentando el volumen de <device_name>...,Volumen de <device_name> aumentado.,assistant,0
media_player.volume_up,Subiendo un poco <device_name>.,He subido un poco <device_name>.,assistant,0
media_player.media_play,Iniciando la reproducción en <device_name>.,La reproducción está en marcha en <device_name>.,assistant,0
media_player.volume_up,Aumentando el volumen de <device_name>.,El volumen de <device_name> está ahora más alto.,assistant,0
media_player.media_play,Reproduciendo medios en <device_name> ahora.,Los medios ya están reproduciéndose en <device_name>.,assistant,0
media_player.media_play,Reproduciendo <device_name> ahora.,<device_name> está reproduciéndose.,assistant,0
media_player.media_stop,Deteniendo <device_name> ahora.,He detenido <device_name> por completo.,assistant,0
media_player.media_stop,Deteniendo la reproducción en <device_name>...,La reproducción se ha detenido en <device_name>.,assistant,0
media_player.media_stop,Finalizando sesión en <device_name>...,Sesión finalizada en <device_name>.,assistant,0
media_player.volume_down,Bajando <device_name> ahora.,He bajado <device_name>.,assistant,0
media_player.volume_down,Bajando el volumen de <device_name> ahora.,Volumen de <device_name> bajado.,assistant,0
media_player.volume_down,Disminuyendo el volumen de <device_name> ahora.,El volumen de <device_name> se ha disminuido.,assistant,0
media_player.volume_mute,Silenciando <device_name> ahora.,El <device_name> está silenciado.,assistant,0
media_player.volume_mute,Silenciando <device_name> en este momento.,He silenciado <device_name>.,assistant,0
media_player.media_pause,Pausando <device_name> ahora.,He pausado <device_name>.,assistant,0
media_player.volume_mute,Silenciando <device_name> ahora.,<device_name> está silenciado.,assistant,0
media_player.media_pause,Pausando <device_name> ahora.,He pausado <device_name>.,assistant,0
media_player.media_pause,Pausando la reproducción en <device_name>.,La reproducción está pausada en <device_name>.,assistant,0
media_player.media_next_track,Avanzando a la siguiente canción en <device_name>.,Se ha avanzado a la siguiente canción en <device_name>.,assistant,0
media_player.media_next_track,Saltando a la siguiente pista en <device_name>.,La siguiente pista está ahora en <device_name>.,assistant,0
media_player.media_previous_track,Volviendo a la pista anterior en <device_name>.,He vuelto a la pista anterior en <device_name>.,assistant,0
media_player.media_next_track,Saltando esta pista en <device_name> ahora.,He saltado la pista en <device_name>.,assistant,0
media_player.media_previous_track,Retrocediendo una pista en <device_name>…,He retrocedido la pista en <device_name>.,assistant,0
media_player.media_previous_track,Rebobinando la canción anterior en <device_name> ahora.,He rebobinado la canción anterior en <device_name>.,assistant,0
switch.turn_on,Estoy encendiendo el interruptor por ti.,El interruptor está encendido.,assistant,0
switch.turn_on,"Claro, estoy encendiendo la luz ahora.","Listo, la luz está encendida.",assistant,0
switch.turn_off,Apagando el interruptor ahora.,El interruptor está apagado.,assistant,0
switch.turn_on,Encendiendo el interruptor ahora.,El interruptor está encendido.,assistant,0
switch.turn_off,Apagando el dispositivo por ti.,El dispositivo está apagado.,assistant,0
switch.turn_off,"Claro, apagando el interruptor ahora.","Listo, el interruptor está apagado.",assistant,0
switch.toggle,Cambiando el interruptor por usted.,El interruptor ya está cambiado.,assistant,0
switch.toggle,Cambiando el estado del interruptor ahora.,El estado del interruptor ha sido cambiado.,assistant,0
switch.toggle,Activando el interruptor ahora.,El interruptor está activado.,assistant,0
switch.toggle,Alternando <device_name> ahora.,<device_name> alternado.,assistant,0
switch.toggle,"Sí, alternando <device_name> ahora.","Listo, <device_name> alternado.",assistant,0
switch.toggle,Alternando <device_name> ahora.,He alternado <device_name>.,assistant,0
switch.toggle,Cambiando el estado de <device_name> ahora.,El estado de <device_name> ha sido cambiado.,assistant,0
switch.toggle,"Alternando <device_name> según lo solicitado, un momento.","Listo, <device_name> ha sido alternado según lo solicitado.",assistant,0
switch.toggle,Alternando rápidamente <device_name> ahora.,He alternado rápidamente <device_name>.,assistant,0
switch.turn_on,Activando <device_name> ahora.,He activado <device_name>.,assistant,0
switch.turn_on,Activando <device_name> ahora.,<device_name> está activado.,assistant,0
switch.turn_on,"Claro, activando <device_name> ahora.","Listo, <device_name> está activado.",assistant,0
switch.turn_on,Estoy activando <device_name>.,<device_name> está encendido.,assistant,0
switch.turn_on,Encendiendo <device_name> ahora.,He encendido <device_name>.,assistant,0
switch.turn_on,"Claro, estoy encendiendo <device_name> ahora.","Listo, <device_name> está encendido.",assistant,0
switch.turn_off,Apagando <device_name> ahora.,<device_name> está apagado.,assistant,0
switch.turn_on,"Activando <device_name> ahora, según sea necesario.",He activado <device_name> según sea necesario.,assistant,0
switch.turn_off,Apagando <device_name> ahora.,He apagado <device_name>.,assistant,0
switch.turn_off,Desactivando <device_name> ahora.,Se ha desactivado <device_name>.,assistant,0
switch.turn_off,"Bien, estoy apagando <device_name> ahora.","Listo, <device_name> está apagado.",assistant,0
switch.turn_off,Apagando <device_name> antes de acostarse.,He apagado <device_name> antes de acostarse.,assistant,0
switch.turn_off,"Bien, apagando <device_name>.","Listo, <device_name> apagado.",assistant,0
blinds.close_cover,Cerrando <device_name> ahora.,He cerrado <device_name>.,assistant,1
blinds.close_cover,Bajando <device_name> ahora.,He bajado <device_name>.,assistant,1
switch.turn_off,Apagando <device_name> ahora.,<device_name> está apagado.,assistant,0
blinds.close_cover,Cerrando <device_name> ahora.,El <device_name> está cerrado.,assistant,1
blinds.open_cover,Levantando <device_name> ahora.,<device_name> ya está levantado.,assistant,1
blinds.open_cover,levantando <device_name>...,<device_name> está ya levantado,assistant,1
fan.decrease_speed,Ralentizando <device_name> ahora.,He ralentizado <device_name>.,assistant,1
fan.decrease_speed,Reduciendo la velocidad de <device_name> ahora.,Velocidad de <device_name> reducida.,assistant,1
blinds.open_cover,abriendo <device_name> ahora,<device_name> abierto,assistant,1
fan.decrease_speed,reduciendo <device_name> ahora,he reducido <device_name>,assistant,1
fan.increase_speed,Acelerando <device_name> ahora.,He acelerado <device_name>.,assistant,1
fan.increase_speed,Aumentando la velocidad de <device_name>.,La velocidad de <device_name> ha sido aumentada.,assistant,1
fan.toggle,Alternando <device_name> ahora.,<device_name> alternado.,assistant,1
fan.increase_speed,aumentando <device_name> ahora,he aumentado <device_name>,assistant,1
fan.toggle,Volteando <device_name> ahora.,He volteado <device_name>.,assistant,1
fan.turn_off,Deteniendo <device_name> ahora.,He detenido <device_name>.,assistant,1
fan.turn_off,apagando <device_name> ahora.,<device_name> apagado.,assistant,1
fan.turn_on,Iniciando <device_name>.,<device_name> está encendido.,assistant,1
fan.turn_on,activando <device_name> ahora,He activado <device_name>,assistant,1
fan.turn_off,Desactivando <device_name> ahora.,He desactivado <device_name>.,assistant,1
garage_door.close_cover,Cerrando <device_name> ahora.,El <device_name> ya está cerrado.,assistant,1
garage_door.close_cover,Desactivando <device_name> ahora.,He desactivado <device_name>.,assistant,1
garage_door.open_cover,abriendo <device_name>,el <device_name> está abierto,assistant,1
garage_door.close_cover,Cerrando <device_name> ahora.,He cerrado <device_name>.,assistant,1
garage_door.stop_cover,Deteniendo <device_name> ahora.,He detenido <device_name>.,assistant,1
garage_door.open_cover,Levantando <device_name> ahora.,He levantado <device_name>.,assistant,1
light.toggle,Alternando <device_name> ahora.,He alternado <device_name>.,assistant,1
light.turn_off,apagando <device_name>,He apagado <device_name>,assistant,1
light.toggle,Volteando <device_name> ahora.,He volteado <device_name>.,assistant,1
light.turn_off,Desactivando <device_name> ahora.,<device_name> desactivado.,assistant,1
light.turn_off,Bajando <device_name> ahora.,He bajado <device_name>.,assistant,1
light.turn_on,Activando <device_name> ahora.,He activado <device_name>.,assistant,1
light.turn_on,Activando <device_name> ahora.,<device_name> está activado.,assistant,1
light.turn_off,apagando <device_name> ahora,<device_name> está apagado,assistant,1
light.turn_on,Encendiendo <device_name>.,<device_name> está encendido.,assistant,1
light.turn_on,activando ambos <device_name>,ambos <device_name> activados,assistant,1
lock.lock,Asegurando <device_name>...,<device_name> está asegurado.,assistant,1
lock.lock,Bloqueando <device_name> ahora.,<device_name> está bloqueado.,assistant,1
