device_type,state,phrase,assistant_response
garage_door,closed,Did we leave the <device_name> open,No the <device_name> is closed
blinds,open,Did we lower the <device_name>,No the <device_name> are actually open
blinds,closed,Is the <device_name> pulled up,No the <device_name> are currently closed
media_player,on,Is the <device_name> off,No the <device_name> is currently on
media_player,off,Is the <device_name> playing,No the <device_name> is off right now
media_player,idle,Is the <device_name> playing some music,No the <device_name> is idle at the moment
media_player,playing,Is the <device_name> paused,No the <device_name> is actually playing
media_player,paused,Is the <device_name> in standby,No the <device_name> is paused right now
media_player,standby,Is the <device_name> playing,No the <device_name> is in standby
garage_door,opening,Is the <device_name> closing,No the <device_name> is currently opening
garage_door,closing,Is the <device_name> opening,No the <device_name> is currently closing
blinds,opening,Are the <device_name> closing,No the <device_name> are opening
blinds,closing,Are the <device_name> opening,No the <device_name> are closing
lock,unlocking,Is the <device_name> locking,No the <device_name> is unlocking
lock,locking,Is the <device_name> unlocking,No the <device_name> is locking
lock,jammed,Is the <device_name> unlocked,No the <device_name> is jammed
light,on,Is the <device_name> dark,No the <device_name> is currently on
light,off,Is the <device_name> shining,No the <device_name> is off
fan,on,Is the <device_name> idle,No the <device_name> is actually on
fan,off,Is the <device_name> blowing air,No the <device_name> is off right now
lock,unlocked,Is the <device_name> secure,No the <device_name> is currently unlocked
lock,locked,Is the <device_name> open,No the <device_name> is locked
lock,jammed,Is the <device_name> locking,No the <device_name> is jammed
light,on,Is the <device_name> off,No the <device_name> is on
light,off,Is the <device_name> active,No the <device_name> is off
light,on,Is the <device_name> on or off,The <device_name> is on
light,off,Is the <device_name> on or off,The <device_name> is off
fan,on,Is the <device_name> on or off,The <device_name> is on
fan,off,Is the <device_name> on or off,The <device_name> is off
garage_door,open,Is the <device_name> open or closed,The <device_name> is open
garage_door,closed,Is the <device_name> open or closed,The <device_name> is closed
blinds,open,Are the <device_name> open or closed,The <device_name> are open
blinds,closed,Are the <device_name> open or closed,The <device_name> are closed
media_player,on,Is the <device_name> on or off,The <device_name> is on
media_player,off,Is the <device_name> on or off,The <device_name> is off
lock,unlocked,Is the <device_name> locked or unlocked,The <device_name> is unlocked
lock,locked,Is the <device_name> locked or unlocked,The <device_name> is locked
media_player,playing,Is the <device_name> playing or paused,The <device_name> is playing
media_player,paused,Is the <device_name> playing or paused,The <device_name> is paused
garage_door,opening,Is the <device_name> opening or closing,The <device_name> is opening
garage_door,closing,Is the <device_name> opening or closing,The <device_name> is closing
blinds,opening,Are the <device_name> opening or closing,The <device_name> are opening
blinds,closing,Are the <device_name> opening or closing,The <device_name> are closing
lock,unlocking,Is the <device_name> locking or unlocking,The <device_name> is unlocking
lock,locking,Is the <device_name> locking or unlocking,The <device_name> is locking
lock,jammed,Is the <device_name> locked or jammed,The <device_name> is jammed
media_player,idle,Is the <device_name> idle or in standby,The <device_name> is idle
media_player,standby,Is the <device_name> idle or in standby,The <device_name> is in standby
light,on,Is the <device_name> on or dim,The <device_name> is on
light,off,Is the <device_name> on or dim,The <device_name> is off
fan,on,Is the <device_name> spinning or still,The <device_name> is spinning
fan,off,Is the <device_name> spinning or still,The <device_name> is still
lock,unlocked,Is the <device_name> secure or unsecure,The <device_name> is unsecure
lock,locked,Is the <device_name> secure or unsecure,The <device_name> is secure
lock,jammed,Is the <device_name> secure or jammed,The <device_name> is jammed
light,on,What's the current condition of the <device_name>,The <device_name> is on
light,off,How's the <device_name> looking right now,The <device_name> is off
fan,on,What's happening with the <device_name>,The <device_name> is on
fan,off,Can you give me an update on the <device_name>,The <device_name> is off
garage_door,open,Fill me in on the <device_name> would you,The <device_name> is open
garage_door,closed,What's the situation with the <device_name>,The <device_name> is closed
blinds,open,What's the latest on the <device_name>,The <device_name> are open
blinds,closed,Can you update me on the <device_name>,The <device_name> are closed
media_player,on,What's the status of the <device_name>,The <device_name> is on
media_player,off,How's the <device_name> doing,The <device_name> is off
lock,unlocked,What's the word on the <device_name>,The <device_name> is unlocked
lock,locked,How's it going with the <device_name>,The <device_name> is locked
media_player,playing,Can you clue me in on the <device_name>,The <device_name> is playing
media_player,paused,What's going down with the <device_name>,The <device_name> is paused
garage_door,opening,Any news on the <device_name>,The <device_name> is opening
garage_door,closing,What's the scoop on the <device_name>,The <device_name> is closing
blinds,opening,Got any updates on the <device_name>,The <device_name> are opening
blinds,closing,What's happening with the <device_name> now,The <device_name> are closing
lock,unlocking,What's the latest update on the <device_name>,The <device_name> is unlocking
lock,locking,Any changes with the <device_name>,The <device_name> is locking
light,on,What's up with the <device_name>,The <device_name> is on
light,off,whats the <device_name> status,The <device_name> is off
fan,on,Is <device_name> active,The <device_name> is on
fan,off,Status of <device_name>,The <device_name> is off
garage_door,open,<device_name> update,The <device_name> is open
garage_door,closed,<device_name> current state,The <device_name> is closed
blinds,open,How's the <device_name>,The <device_name> are open
blinds,closed,Update on <device_name>,The <device_name> are closed
media_player,on,what is the State of <device_name>,The <device_name> is on
media_player,off,Any news on <device_name>,The <device_name> is off
lock,unlocked,How's the <device_name>,The <device_name> is unlocked
lock,locked,<device_name> okay,The <device_name> is locked
media_player,playing,Is <device_name> active,The <device_name> is playing
media_player,paused,<device_name> state,The <device_name> is paused
garage_door,opening,What's <device_name> doing,The <device_name> is opening
garage_door,closing,Status of <device_name>,The <device_name> is closing
blinds,opening,<device_name> update,The <device_name> are opening
blinds,closing,How's the <device_name>,The <device_name> are closing
lock,unlocking,State of <device_name>,The <device_name> is unlocking
lock,locking,Is <device_name> okay,The <device_name> is locking
light,on,What's <device_name> doing,The <device_name> is on
light,off,Is <device_name> active,The <device_name> is off
fan,on,<device_name> status now,The <device_name> is on
fan,off,Current state of <device_name>,The <device_name> is off
light,on,Is <device_name> working,The <device_name> is on
light,off,Update on <device_name>,The <device_name> is off
fan,on,How's the <device_name>,The <device_name> is on
fan,off,Status of <device_name>,The <device_name> is off
light,on,<device_name> condition,The <device_name> is on
light,off,What's up with <device_name>,The <device_name> is off
media_player,on;<volume>,"What's the volume on <device_name>?","The volume on <device_name> is at <volume>."
media_player,off,"Can you check the volume level of <device_name>?","<device_name> is off, so I can't check the volume level currently."
media_player,idle,"I need the current volume of <device_name>, please.","The current volume of <device_name> is <volume>."
media_player,playing,"Is the volume too loud on <device_name>?","The volume on <device_name> is currently set to <volume>."
media_player,paused,"What was the volume set to before <device_name> was paused?","Before being paused, <device_name> had a volume level of <volume>."
media_player,playing,"Is the volume muted on <device_name>?","The volume on <device_name> is not muted. It's at <volume>."
media_player,on,"What's playing on <device_name> right now?","<media> is currently playing on <device_name>."
media_player,off,"Is there anything playing on <device_name>?","Nothing is playing on <device_name> as it is currently off."
media_player,idle,"Can you tell me what was last played on <device_name>?","The last media played on <device_name> was <media>."
media_player,playing,"What is playing on <device_name> at the moment?","The song <media> is playing on <device_name> right now."
media_player,paused,"What media was paused on <device_name>?","<media> was paused on <device_name>."
media_player,on,"I hear something from <device_name>, what is it?","<device_name> is not currently playing anything."
media_player,playing,"I like this track on <device_name>, what is it?","You're listening to <media> on <device_name>."
media_player,paused,"Can you name the movie that's on <device_name>?","The movie currently paused on <device_name> is <media>."
media_player,standby,"What was the last show watched on <device_name>?","The last show watched on <device_name> was <media>."
media_player,buffering,"Which episode is on <device_name> right now?","The episode on <device_name> is <media>."
light,on;<color>;<brightness>,"What's the brightness of <device_name>?","The brightness of <device_name> is currently at <brightness>."
light,on;<color>;<brightness>,"Can you tell me the color of <device_name>?","<device_name> is currently showing <color>."
light,on;<color>;<brightness>,"Is <device_name> set to a bright or dim setting?","<device_name> is set to a <brightness> brightness level."
light,on;<color>;<brightness>,"What hue is <device_name> displaying?","<device_name> is displaying a <color> hue."
light,on;<color>;<brightness>,"How bright is <device_name> right now?","<device_name> is currently at <brightness>% brightness."
light,on;<color>;<brightness>,"I'd like to know the current color of <device_name>.","The current color of <device_name> is <color>."
light,on;<color>;<brightness>,"Is <device_name> more on the dim side or the bright side?","<device_name> is more on the <brightness> side."
light,on;<color>;<brightness>,"What color setting is <device_name> on?","<device_name> is set to <color> color setting."
light,on;<color>;<brightness>,"Could you check the brightness level of <device_name> for me?","Sure, the brightness level of <device_name> is <brightness>."
light,on;<color>;<brightness>,"Tell me, what's the current hue of <device_name>?","The current hue of <device_name> is <color>."
light,off,"What's the brightness of <device_name>?","The device <device_name> is turned off."
light,off,"Can you tell me the color of <device_name>?","<device_name> is turned off."
light,off,"Is <device_name> set to a bright or dim setting?","No, <device_name> is turned off."
light,off,"What hue is <device_name> displaying?","<device_name> is actually turned off."
light,off,"How bright is <device_name> right now?","<device_name> is turned off."
media_player,playing;<media>;<volume>,"What's currently playing on <device_name>?","<device_name> is playing <media> at volume level <volume>."
media_player,paused;<media>;<volume>,"Can you tell me what's paused on <device_name>?","<device_name> has <media> paused at volume level <volume>."
media_player,idle;<volume>,"Is there anything playing on <device_name>?","<device_name> is currently idle with the volume set to <volume>."
media_player,playing;<media>;<volume>,"What song is <device_name> playing?","<device_name> is playing the song <media> at volume <volume>."
media_player,paused;<media>;<volume>,"What was the last thing played on <device_name>?","The last media played on <device_name> was <media>, currently paused at volume <volume>."
media_player,idle;<volume>,"Is <device_name> active right now?","<device_name> is currently idle, the volume is set to <volume>."
media_player,playing;<media>;<volume>,"What's on <device_name> at the moment?","<device_name> is currently playing <media> at volume <volume>."
media_player,paused;<media>;<volume>,"I forgot what I paused on <device_name>, can you remind me?","You paused <media> on <device_name>, and the volume is set to <volume>."
media_player,idle;<volume>,"Is <device_name> turned off or on?","<device_name> is on but idle, with volume at <volume>."
media_player,playing;<media>;<volume>,"I'd like to know what's playing on <device_name>.","Currently, <media> is playing on <device_name> at volume level <volume>."
vacuum,cleaning,Is the <device_name> vacuum running right now?,The vacuum is running.
vacuum,cleaning,Is the <device_name> vacuum on?,It is. Your home is currently being cleaned.
vacuum,cleaning,Is <device_name> cleaning?,"Yes, <device_name> is currently vacuuming."
vacuum,cleaning,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is currently cleaning the house.
vacuum,cleaning,What is <device_name> doing right now?,<device_name> is currently cleaning.
vacuum,docked,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is currently docked.
vacuum,docked,What is <device_name> doing right now?,<device_name> is currently docked.
vacuum,docked,Is <device_name> on its base right now?,"Yes, <device_name> is at its base."
vacuum,docked,Where is the <device_name> vacuum?,On its dock at the moment.
vacuum,paused,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is paused.
vacuum,paused,What is <device_name> doing right now?,<device_name> is paused.
vacuum,idle,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is stopped.
vacuum,idle,What is <device_name> doing right now?,<device_name> is stopped.
vacuum,error,What is the <device_name> vacuum doing right now?,The <device_name> vacuum is stuck or having issues that need to be corrected.
vacuum,error,What is <device_name> doing right now?,<device_name> is stuck or having issues.
todo,1,How many items on on my <device_name> right now?,There is currently 1 item on your <device_name>.
todo,2,How many things are on the <device_name> at the moment?,There are 2 things on the <device_name> currently.
todo,3,What is the current number of items on your <device_name>?,"Yes, there are currently 3 items on your <device_name>."
todo,4,How many objects are there on the <device_name> presently?,"Yes, there are 4 objects presently on the <device_name>."
todo,5,Could you tell me how many pieces there are on the <device_name> at this time?,I can tell you that there are 5 pieces on the <device_name> at this time.
todo,6,What's the count of items on the <device_name> now?,The count of items on the <device_name> now is 6.
todo,7,How many units can be found on my <device_name> at the present moment?,You will find 7 units on my <device_name> at the present moment.
todo,8,Could you inform me as to how many articles are located on the <device_name> right now?,I'd be happy to inform you that there are 8 articles located on the <device_name> right now.
todo,9,Is it possible for you to disclose how many components there are on the <device_name> currently?,It is possible for me to disclose that there are 9 components on the <device_name> currently.
todo,10,May I ask for the quantity of items on the <device_name> at present?,The quantity of items on the <device_name> is currently 10.
todo,11,Would you be able to tell me how many things there are on the <device_name> now?,"Yes, I can tell you that there are 11 things on the <device_name> now."
todo,12,Can you enlighten me as to the number of items on the <device_name>?,I'd be pleased to enlighten you that there are 12 items on the <device_name>.
timer,active;<duration>;<remaining>,How much time left on the <device_name>?,The <device_name> is set for <duration>. There is currently <remaining> remaining.
timer,active;<duration>;<remaining>,How long before the <device_name> goes off?,The <device_name> will go off in <remaining>.
timer,active;<duration>;<remaining>,When is the <device_name> set to go off?,The <device_name> is set for <duration> and will go off in <remaining>.
