reason_type,service_name,device_name,friendly_name,desired_state,phrase,response
not_available,switch.toggle,pond_aerator,Pond aerator switch,,Toggle the <device_name>,"I’m sorry, I can’t locate the <device_name> in your home."
not_available,climate.turn_off,humidor_control,Humidor Climate Control,,Turn off the <device_name>.,"I’m sorry, but I can’t locate that device in your home."
already_state,media_player.media_play_pause,home_theater_system_living_room,Living Room Home Theater,playing,Pause <device_name>,"Sorry, <device_name> is already playing, so no change is needed."
not_available,blinds.close_cover,kids_room,Kids' room blinds,,Close the <device_name> blinds,"I’m sorry, but I can’t locate that device in your home."
not_available,vacuum.start,smart_home_automator,Smart home cleaning bot,,Start the <device_name>.,"I’m sorry, but I can’t find that device in your home."
not_available,media_player.volume_up,backyard_outdoor_projector,Backyard Projector,,Increase the volume of <device_name>,"I’m sorry, I can’t locate <device_name> in your home."
not_available,lock.lock,garage,Garage Door Lock,,Lock the <device_name>.,"I’m sorry, but I can’t find that device in your home."
not_available,climate.turn_on,emerson_sensi_touch,Emerson Sensi Touch Wi-Fi Thermostat,,turn on the <device_name>,"I’m sorry, I can’t locate that device in your home."
not_available,fan.toggle,patio,Patio Fan,,Toggle the <device_name>,"I’m sorry, I can’t locate that fan in your home."
not_available,vacuum.return_to_base,downstairs_guest_room,Downstairs guest room vac,,Return <device_name> to its base,"I’m sorry, but I can’t locate that device in the home right now."
not_available,fan.toggle,kids_room,Kids' room fan,,Toggle the <device_name>,"I’m sorry, I can’t locate that device in your home."
not_available,climate.set_temperature,ecobee_smart,Ecobee SmartThermostat,,Set the temperature of <device_name> to 20 degrees.,"I’m sorry, I can’t locate <device_name> in your home, so I’m unable to set the temperature."
already_state,blinds.close_cover,conservatory,Conservatory Blinds,closed,Close the <device_name> blinds,"The <device_name> is already closed, so there's nothing to change."
already_state,media_player.turn_off,epson_home_cinema,Epson Video Projector,off,Turn off <device_name>,"Sorry, <device_name> is already off, so there's nothing to do."
not_available,fan.turn_on,office,Office Fan,,Turn on the <device_name>.,"I’m sorry, I can’t locate that device in your home."
not_available,vacuum.start,wine_cellar_vac,Wine cellar vacuum,,Start the <device_name>,"I’m sorry, I can’t locate that device in your home."
not_available,switch.toggle,sunroom_lights,Sunroom Lights Switch,,Toggle the <device_name>,"I’m sorry, I can’t locate that device in your home."
not_available,vacuum.stop,workshop_floor,Workshop floor cleaner,,"Hey assistant, please stop the <device_name>.","I’m sorry, but I can’t locate that device in your home."
not_available,garage_door.toggle,chamberlain_2,Chamberlain,,Toggle the <device_name>.,"I’m sorry, I can’t locate a <device_name> in your home to toggle."
not_available,climate.turn_on,kono_thermostat,Kono Smart Thermostat,,Turn on the <device_name> climate,"I’m sorry, I can’t locate a <device_name> in your home."
not_available,climate.set_temperature,greenhouse_climate,Greenhouse Climate System,,Set the temperature of <device_name> to 26 degrees,"I’m sorry, I can’t locate that device in your home."
not_available,vacuum.return_to_base,back_deck_sweeper,Back deck area cleaner,,Return <device_name> to its base,"I’m sorry, but I can’t find that device in the home right now."
not_available,climate.set_temperature,humidor_control,Humidor Climate Control,,Set the temperature of <device_name> to 18 degrees,"I'm sorry, I can't locate <device_name> in your home."
not_available,garage_door.stop_cover,golf_cart,Golf cart door,,stop the <device_name>,"I’m sorry, I can’t locate that device in your home."
not_available,blinds.toggle,morning_room,Morning room blinds,,Toggle the <device_name> blinds,"I’m sorry, but I can’t locate that blind in your home."
already_state,fan.turn_off,outdoor_kitchen,Outdoor kitchen fan,off,Turn off the <device_name>,"Sorry, the <device_name> is already off, so there's nothing to change."
not_available,fan.increase_speed,laundry_room,Laundry room fan,,Increase the speed of the <device_name>.,"I’m sorry, I can’t locate that fan in your home."
not_available,switch.turn_off,warehouse_lights,Warehouse Lights Switch,,Turn off the <device_name>,"I'm sorry, I couldn't locate the <device_name> in your home."
not_available,fan.turn_off,master_bath,Master bathroom fan,,Turn off the <device_name>,"I’m sorry, I can’t locate that fan in your home."
not_available,garage_door.close_cover,carport,Carport Garage Door,,Close the <device_name> cover,"I’m sorry, but I can’t locate a <device_name> in your home to close."
not_available,switch.toggle,gutter_heating,Gutter heating control,,Toggle the <device_name> switch,"I’m sorry, but I can’t locate a device named <device_name> in your home."
not_available,fan.decrease_speed,outdoor_kitchen,Outdoor kitchen fan,,Decrease the speed of <device_name>,"I’m sorry, I can’t locate that fan in your home."
already_state,lock.lock,office,Office Lock,locked,Lock the <device_name>.,"Sorry, the <device_name> is already locked, so there's nothing to change."
not_available,lock.lock,utility_room,Utility room lock,,Lock the <device_name>,"I'm sorry, I can't locate that device in your home."
already_state,switch.turn_on,deck_lights,Deck Lighting Switch,on,Turn on the <device_name>.,"Sorry, the <device_name> is already on, so there's nothing to change."
already_state,light.turn_on,master_bedroom_1,Master Bedroom Lights,on,turn on <device_name> to 51% brightness,"The light is already on at that level, so there's nothing to change."
not_available,light.turn_on,office_desk,Office Desk Light,,Turn on the <device_name> light to green,"I’m sorry, but I can’t locate that device in your home."
not_available,switch.toggle,master_bedroom_lights,Master Bedroom Lights Switch,,Toggle the <device_name>,"I’m sorry, I can’t find that device in your home."
not_available,light.toggle,philips_hue_2,Philips Hue,,Toggle the <device_name>,"I’m sorry, but I can’t locate that device in your home."
already_state,light.turn_on,patio,Patio Lights,on,Turn on the <device_name>.,"The <device_name> is already on, so there's nothing to change."
already_state,media_player.turn_off,home_theater,Home Theater Media,off,Turn off <device_name>,"Sorry, <device_name> is already off, so there's nothing to change."
already_state,blinds.close_cover,morning_room,Morning room blinds,closed,Close the <device_name> blinds,"The <device_name> is already closed, so no action is needed."
not_available,switch.toggle,fountain_pump,Fountain Pump Switch,,Toggle the <device_name>,"I’m sorry, I can’t locate the <device_name> in your home."
not_available,lock.unlock,workshop,Workshop Lock,,unlock <device_name>,"I’m sorry, I can’t locate <device_name> in your home, so I can’t unlock it."
not_available,vacuum.stop,left_corner_bot,Left corner dirt sucker,,Stop the <device_name>,"I’m sorry, I can’t locate that device in your home."
already_state,vacuum.start,dining_area_bissel,Dining area dirt remover,cleaning,Start the <device_name>.,"It's already cleaning, so there's nothing to change."
already_state,vacuum.return_to_base,craft_room_helper,Craft room cleaning bot,docked,<device_name> return to base,"It's already docked, so there's nothing for me to do."
already_state,lock.lock,den,Den Lock,locked,Lock <device_name>,"Sorry, <device_name> is already locked, so there's nothing to do."
not_available,light.toggle,kitchen_mirror_cool,Kitchen Mirror Cool Light,,Toggle <device_name>,"I’m sorry, I can’t locate <device_name> in your home."
not_available,media_player.volume_up,greenhouse_speaker,Greenhouse Speaker,,Volume up <device_name>,"I’m sorry, I can’t find <device_name> in your home to adjust the volume."
not_available,vacuum.stop,above_stairs_robot,Above stairs dusting device,,Stop the <device_name>,"I’m sorry, I can’t locate that device in your home, so I can’t stop it."
already_state,fan.turn_on,living_room_center,Center living room fan,on,Turn on the <device_name>,"Sorry, the <device_name> is already on, so there's nothing to change."
not_available,garage_door.close_cover,shed_1,First shed door,,Close the <device_name> cover,"I’m sorry, I can’t locate a garage door in your home to close."
not_available,blinds.close_cover,theater_room,Home theater blinds,,Close the <device_name> blinds,"I’m sorry, I can’t locate a <device_name> in your home."
already_state,blinds.close_cover,garage,Garage Blinds,closed,Close the <device_name> blinds,"The blinds are already closed, so there's nothing to do."
not_available,vacuum.return_to_base,basement_deebot,Basement deebot,,Return <device_name> to its base,"I’m sorry, but I can’t locate that device in your home."
already_state,light.turn_on,downstairs_corridor_mqtt,Downstairs Corridor Light,on,Turn on the <device_name> with color red,"Sorry, the <device_name> is already on, so there's nothing to change."
already_state,lock.lock,back_door,Back Door Lock,locked,Lock the <device_name>.,"Sorry, the <device_name> is already locked, so no action is needed."
not_available,climate.set_temperature,honeywell_lyric_t6,Honeywell Lyric T6 Pro,,Set the temperature to 23°C on <device_name>.,"I’m sorry, I can’t locate <device_name> in your home."
already_state,fan.turn_off,porch,Porch ceiling fan,off,Turn off the <device_name>,"Sorry, the fan is already off, so there's nothing to change."
not_available,switch.turn_off,den_lights,Den Lights Switch,,Turn off the <device_name>.,"I’m sorry, I can’t locate that device in your home."
already_state,vacuum.return_to_base,workshop_floor,Workshop floor cleaner,docked,Return <device_name> to base,"It's already docked, so there's nothing to do."
not_available,fan.increase_speed,guest_room,Guest Room Fan,,Increase the speed of the <device_name>.,"I’m sorry, I can’t locate a <device_name> in your home."
not_available,vacuum.stop,living_room_roomba,Living room vacuum,,stop <device_name>,"I’m sorry, I can’t locate that device in your home."
already_state,light.turn_on,downstairs_entryway_mqtt,Downstairs Entryway Light,on,Turn on the <device_name> to white,"The <device_name> is already on, so no change is needed."
not_available,switch.toggle,dining_room_lights,Dining Room Lights Switch,,Toggle <device_name>,"I’m sorry, but I can’t locate that device in your home."
already_state,climate.turn_off,netatmo_smart,Netatmo Smart Thermostat,off,Turn off the <device_name> climate,"Sorry, the climate is already off, so there's nothing to change."
already_state,fan.turn_on,kitchen_island,Cooling kitchen fan,on,turn on the <device_name>,"Sorry, the fan is already on, so there's nothing to change."
not_available,lock.unlock,schlage_smart,Schlage Smart Lock,,Unlock the <device_name>.,"I’m sorry, but I can’t locate the <device_name> in your home."
already_state,switch.turn_on,study_room_lights,Study Room Lights Switch,on,Turn on the <device_name>.,"Sorry, the <device_name> is already on, so there's nothing to change."
not_available,climate.set_temperature,wine_cellar_cooling,Wine Cellar Climate Control,,Set the temperature of <device_name> to 18 degrees,"I'm sorry, I couldn't locate <device_name> in your home."
not_available,climate.set_temperature,art_studio_climate,Art Studio Climate Control,,Set the temperature of <device_name> to 19 degrees.,"I’m sorry, but I can’t locate that device in your home."
already_state,lock.unlock,boathouse,Boathouse Lock,unlocked,Unlock the <device_name>.,"The <device_name> is already unlocked, so there's nothing to do."
not_available,switch.toggle,aquarium_filter,Aquarium filter switch,,Toggle the <device_name>,"I’m sorry, I can’t locate that device in your home."
already_state,garage_door.close_cover,guest,Guest Garage Door,closed,Close the <device_name>.,"Sorry, the <device_name> is already closed, so there's nothing to do."
not_available,garage_door.close_cover,auto_bay_left,Left auto bay door,,close the <device_name> cover,"I’m sorry, I can’t locate a garage door in your home to close."
not_available,media_player.volume_down,home_theater_system_living_room,Living Room Home Theater,,Turn down the volume on <device_name>,"I’m sorry, I can’t locate <device_name> in your home."
not_available,light.turn_on,kitchen_drawer_warm,Kitchen Drawer Warm Light,,Turn on the <device_name> to cool white,"I’m sorry, I can’t locate that device in your home."
not_available,garage_door.toggle,main,Main Garage Door,,toggle the <device_name>,"I’m sorry, I can’t locate that device in your home."
already_state,media_player.turn_on,ps5_living_room,Living room PS5,on,Turn on <device_name>,"Sorry, <device_name> is already on, so no action is needed."
not_available,media_player.volume_up,sony_bravia_tv,Sony Smart LED TV,,Turn up the volume on <device_name>,"I’m sorry, I can’t locate <device_name> in your home."
not_available,blinds.stop_cover,guest_room,Guest Room Blinds,,Stop the <device_name> blinds,"I’m sorry, I can’t find that blind in your home right now."
not_available,media_player.volume_up,kitchen_radio,Kitchen Radio Player,,Turn up the volume on <device_name>,"I’m sorry, I can’t locate <device_name> in your home."
not_available,vacuum.start,garage_roomba_2,Garage cleaning bot,,Start the <device_name>,"I’m sorry, I can’t locate that device in your home."
not_available,fan.turn_off,attic,Attic Fan,,Turn off the <device_name>.,"I’m sorry, I can’t locate that device in your home."
not_available,fan.decrease_speed,mudroom,Mudroom fan,,Decrease the speed of the <device_name> fan,"I’m sorry, I can’t locate that fan in your home."
already_state,climate.turn_off,carrier_cor,Carrier Cor Wi-Fi Thermostat,off,Turn off the <device_name> climate,"The <device_name> is already off, so there's nothing to change."
not_available,switch.toggle,hallway_lights,Hallway Lights Switch,,Toggle the <device_name>.,"I’m sorry, but I can’t find that device in your home."
not_available,fan.turn_off,workshop_ceiling,Workshop ceiling fan,,Turn off the <device_name>.,"I’m sorry, I can’t locate that device in your home."
not_available,blinds.close_cover,greenhouse_south,South greenhouse blinds,,Close the <device_name> blinds,"I’m sorry, I can’t locate that device in your home."
not_available,climate.turn_off,art_studio_climate,Art Studio Climate Control,,Turn off the <device_name>.,"I’m sorry, I can’t locate a <device_name> in your home to turn off."
not_available,vacuum.return_to_base,workshop_floor,Workshop floor cleaner,,return <device_name> to base,"Sorry, I can't locate that device in your home."
not_available,climate.set_temperature,server_room_cooling,Server Room Cooling,,Set the temperature of <device_name> to 27 degrees,"I’m sorry, I can’t locate <device_name> in your home."
already_state,climate.turn_on,humidor_control,Humidor Climate Control,on,Turn on the <device_name>,"The <device_name> is already on, so no action is needed."
not_available,media_player.media_play_pause,lounge_hi_fi_system,Lounge Hi-Fi Audio,,Play or pause <device_name>,"I’m sorry, I can’t locate <device_name> in your home."
not_available,fan.increase_speed,shed,Shed fan,,Increase the speed of <device_name>,"I'm sorry, I couldn't locate <device_name> in your home."
