device_name,description
fan.honeywell_turbo,"Honeywell Turbo Fan"
fan.indoor_gym,"Indoor Gym Fan"
fan.kids_room,Kids' room fan
fan.kitchen_1,"Kitchen Fans"
fan.kitchen_2,"Kitchen Fans"
fan.kitchen_island,Cooling kitchen fan
fan.kitchen,"Kitchen Fan"
fan.laundry_room,Laundry room fan
fan.living_room_1,"Living Room fan"
fan.living_room_2,"Living Room fan"
fan.living_room_center,Center living room fan
fan.living_room,"Living Room Fan"
fan.master_bath,Master bathroom fan
fan.nursery,"Nursery Fan"
fan.office,"Office Fan"
fan.outdoor_kitchen,Outdoor kitchen fan
fan.outdoor_patio,Outdoor patio fan
fan.outdoor,"Outdoor fan"
fan.patio,"Patio Fan"
fan.porch,Porch ceiling fan
fan.shed,"Shed fan"
fan.study_1,"Study fan"
fan.study_2,"Study fan"
fan.study,"study fan"
garage_door.basement,"Basement Garage Door"
garage_door.bike_shed,Bike shed door
garage_door.bike_storage,"Bike Storage Garage"
garage_door.boat,"Boat Garage Door"
garage_door.boat,Boat storage door
garage_door.carport,"Carport Garage Door"
garage_door.carport,Carport door
garage_door.chamberlain_1,"Chamberlain"
garage_door.chamberlain_2,"Chamberlain"
garage_door.golf_cart,"Golf Cart Garage"
garage_door.golf_cart,Golf cart door
garage_door.greenhouse,Greenhouse door
garage_door.guest,"Guest Garage Door"
garage_door.lawn_equipment,Lawn equipment door
garage_door.liftmaster_1,"LiftMaster"
garage_door.liftmaster_2,"LiftMaster"
garage_door.main_1,Primary garage door
garage_door.main,"Main Garage Door"
garage_door.motorcycle,"Motorcycle Garage"
garage_door.one_car,"One Car Garage"
garage_door.pet_entry,Pet entry door
garage_door.rv_storage,RV storage door
garage_door.rv,"RV Garage Door"
garage_door.shed_1,First shed door
garage_door.shed_2,Second shed door
garage_door.shop,"Workshop Garage Door"
garage_door.left_door,"Left Garage Door"
garage_door.side_2,Side garage door
garage_door.side,"Side Garage Door"
garage_door.spare,"Spare Garage Door"
garage_door.two_car,"Two Car Garage"
garage_door.upper_level,"Upper Level Garage"
garage_door.wine_cellar,Wine cellar door
light.above_dining_table,"Dining Table Light"
light.aquarium,"Aquarium Light"
light.attic,"Attic Light"
light.backyard,"Backyard Light"
light.basement,"Basement Light"
light.bathroom_1,"Bathroom Light"
light.bathroom_2,"Bathroom Light"
light.bathroom_mirror,Mirror lights
light.bathroom,"Bathroom Light"
light.bedroom_1,"Bedroom Light"
light.bedroom_2,"Bedroom Light"
light.bedroom_3,"Bedroom Light"
light.bedroom,"Bedroom Light"
light.closet_under_stairs,Under-stairs closet light
light.deck_left,Left deck light
light.dining_room_1,"Dining Room Light"
light.dining_room_2,"Dining Room Light"
light.dining_room_3,"Dining Room Light"
light.dining_room,"Dining Room Light"
light.driveway_1,First driveway light
light.driveway,"Driveway Light"
light.front_porch,"Front Porch Light"
light.front_yard,Front yard lighting
light.garage,"Garage Light"
light.garden_1,"Garden Light"
light.garden_2,"Garden Light"
light.garden_path,Garden path lighting
light.garden,"Garden Light"
light.guest_room,"Guest room Lights"
light.hallway_upstairs,Upstairs hallway light
light.hallway,"Hallway Lights"
light.hallway,"Hallway Light"
light.hot_tub,Hot tub lighting
light.kitchen_1,"Main Kitchen Light"
light.kitchen_2,"Second Kitchen Light"
light.kitchen_counter,"Kitchen Counter Light"
light.kitchen_counter,Kitchen counter lights
light.kitchen_table,"Kitchen Table Light"
light.kitchen,"Kitchen Light"
light.lifx_master,"Master Light"
light.living_room_1,"Living Room Lights"
light.living_room_2,"Living Room Lights"
light.living_room_ceiling,"Living Room Ceiling Light"
light.living_room_ceiling,Bright ceiling light
light.living_room,"Living Room Light"
light.master_bedroom_1,"Master Bedroom Lights"
light.master_bedroom_2,"Master Bedroom Lights"
light.master_bedroom_lamp,"Master Bedroom Lamp"
light.nursery,"Nursery Light"
light.office_1,"Office Light"
light.office_2,"Office Light"
light.office_desk,"Office Desk Light"
light.office,"Office Light"
light.outdoor,"Outdoor Lights"
light.patio_1,Outdoor patio light
light.patio,"Patio Lights"
light.patio,"Patio Light"
light.philips_hue_1,"Philips Hue"
light.philips_hue_2,"Philips Hue"
light.pool,"Pool Light"
light.shed,"Shed Light"
light.study_1,"Study Lights"
light.study_2,"Study Lights"
light.study_3,"Study Lights"
light.study,"Study Light"
light.workbench,Garage workbench light
light.yeelight_smart,"Yeelight Smart Light"
light.upstairs_master_bedroom_hue,Upstairs Master Bedroom Hue
light.downstairs_guest_bedroom_zigbee,Downstairs Guest Bedroom Light
light.front_office_mqtt,Front Office Light
light.back_family_room_warm,Back Family Room Warm Light
light.kitchen_counter_cool,Kitchen Counter Cool Light
light.upstairs_bathroom_homekit,Upstairs Bathroom Light
light.downstairs_livingroom_lifx,Downstairs Living Room Light
light.front_porch_zwave,Front Porch Light
light.side_hallway_hue,Side Hallway Hue
light.garage_osram,Garage Osram
light.basement_workshop_mqtt,Basement Workshop Light
light.upstairs_children_bedroom_zigbee,Upstairs Children's Bedroom Light
light.downstairs_master_bedroom_homekit,Downstairs Master Bedroom Light
light.front_living_room_ge,Front Living Room Light
light.back_bedroom_warm,Back Bedroom Warm Light
light.kitchen_island_cool,Kitchen Island Cool Light
light.upstairs_hallway_zwave,Upstairs Hallway Light
light.downstairs_bathroom_warm,Downstairs Bathroom Warm Light
light.front_yard_osram,Front Yard Osram
light.back_yard_zwave,Back Yard Light
light.upstairs_guest_bedroom_zigbee,Upstairs Guest Bedroom Light
light.downstairs_office_mqtt,Downstairs Office Light
light.front_bedroom_homekit,Front Bedroom Light
light.back_office_lifx,Back Office Light
light.kitchen_table_warm,Kitchen Table Warm Light
light.upstairs_tv_room_zigbee,Upstairs TV Room Light
light.downstairs_tv_room_homekit,Downstairs TV Room Light
light.front_tv_room_ge,Front TV Room Light
light.back_tv_room_warm,Back TV Room Warm Light
light.kitchen_sink_cool,Kitchen Sink Cool Light
light.upstairs_pantry_zwave,Upstairs Pantry Light
light.downstairs_pantry_mqtt,Downstairs Pantry Light
light.front_pantry_homekit,Front Pantry Light
light.back_pantry_lifx,Back Pantry Light
light.kitchen_cabinet_warm,Kitchen Cabinet Warm Light
light.upstairs_corridor_zigbee,Upstairs Corridor Light
light.downstairs_corridor_mqtt,Downstairs Corridor Light
light.front_corridor_homekit,Front Corridor Light
light.back_corridor_lifx,Back Corridor Light
light.garage_workbench_cool,Garage Workbench Cool Light
light.upstairs_nursery_zwave,Upstairs Nursery Light
light.downstairs_nursery_mqtt,Downstairs Nursery Light
light.front_nursery_homekit,Front Nursery Light
light.back_nursery_warm,Back Nursery Warm Light
light.kitchen_ceiling_cool,Kitchen Ceiling Cool Light
light.upstairs_lounge_zigbee,Upstairs Lounge Light
light.downstairs_lounge_homekit,Downstairs Lounge Light
light.front_lounge_ge,Front Lounge Light
light.back_lounge_warm,Back Lounge Warm Light
light.basement_storage_cool,Basement Storage Cool Light
light.upstairs_closet_zwave,Upstairs Closet Light
light.downstairs_closet_mqtt,Downstairs Closet Light
light.front_closet_homekit,Front Closet Light
light.back_closet_warm,Back Closet Warm Light
light.upstairs_den_zigbee,Upstairs Den Light
light.downstairs_den_homekit,Downstairs Den Light
light.front_den_ge,Front Den Light
light.back_den_warm,Back Den Warm Light
light.kitchen_window_cool,Kitchen Window Cool Light
light.upstairs_entryway_zwave,Upstairs Entryway Light
light.downstairs_entryway_mqtt,Downstairs Entryway Light
light.front_entryway_homekit,Front Entryway Light
light.back_entryway_lifx,Back Entryway Light
light.kitchen_desk_warm,Kitchen Desk Warm Light
light.upstairs_mudroom_zigbee,Upstairs Mudroom Light
light.downstairs_mudroom_homekit,Downstairs Mudroom Light
light.front_mudroom_ge,Front Mudroom Light
light.back_mudroom_warm,Back Mudroom Warm Light
light.kitchen_floor_cool,Kitchen Floor Cool Light
light.upstairs_attic_zwave,Upstairs Attic Light
light.downstairs_attic_mqtt,Downstairs Attic Light
light.front_attic_homekit,Front Attic Light
light.back_attic_lifx,Back Attic Light
light.kitchen_drawer_warm,Kitchen Drawer Warm Light
light.upstairs_sunroom_zigbee,Upstairs Sunroom Light
light.downstairs_sunroom_homekit,Downstairs Sunroom Light
light.front_sunroom_ge,Front Sunroom Light
light.back_sunroom_warm,Back Sunroom Warm Light
light.kitchen_rack_cool,Kitchen Rack Cool Light
light.upstairs_study_zwave,Upstairs Study Light
light.downstairs_study_mqtt,Downstairs Study Light
light.front_study_homekit,Front Study Light
light.back_study_lifx,Back Study Light
light.kitchen_bar_warm,Kitchen Bar Warm Light
light.upstairs_dining_zigbee,Upstairs Dining Light
light.downstairs_dining_homekit,Downstairs Dining Light
light.front_dining_ge,Front Dining Light
light.back_dining_warm,Back Dining Warm Light
light.kitchen_wall_cool,Kitchen Wall Cool Light
light.upstairs_fireplace_zwave,Upstairs Fireplace Light
light.downstairs_fireplace_mqtt,Downstairs Fireplace Light
light.front_fireplace_homekit,Front Fireplace Light
light.back_fireplace_lifx,Back Fireplace Light
light.kitchen_bookshelf_warm,Kitchen Bookshelf Warm Light
light.upstairs_sideyard_zigbee,Upstairs Side Yard Light
light.downstairs_sideyard_homekit,Downstairs Side Yard Light
light.front_sideyard_ge,Front Side Yard Light
light.back_sideyard_warm,Back Side Yard Warm Light
light.kitchen_cupboard_cool,Kitchen Cupboard Cool Light
light.upstairs_cinema_zwave,Upstairs Cinema Light
light.downstairs_cinema_mqtt,Downstairs Cinema Light
light.front_cinema_homekit,Front Cinema Light
light.back_cinema_lifx,Back Cinema Light
light.kitchen_oven_warm,Kitchen Oven Warm Light
light.upstairs_mancave_zigbee,Upstairs Man Cave Light
light.downstairs_mancave_homekit,Downstairs Man Cave Light
light.front_mancave_ge,Front Man Cave Light
light.back_mancave_warm,Back Man Cave Warm Light
light.kitchen_shelf_cool,Kitchen Shelf Cool Light
light.upstairs_balcony_zwave,Upstairs Balcony Light
light.downstairs_balcony_mqtt,Downstairs Balcony Light
light.front_balcony_homekit,Front Balcony Light
light.back_balcony_lifx,Back Balcony Light
light.kitchen_cornice_warm,Kitchen Cornice Warm Light
light.upstairs_stairwell_zigbee,Upstairs Stairwell Light
light.downstairs_stairwell_homekit,Downstairs Stairwell Light
light.front_stairwell_ge,Front Stairwell Light
light.back_stairwell_warm,Back Stairwell Warm Light
light.kitchen_mirror_cool,Kitchen Mirror Cool Light
light.upstairs_basement_zwave,Upstairs Basement Light
light.downstairs_basement_mqtt,Downstairs Basement Light
light.front_basement_homekit,Front Basement Light
light.back_basement_lifx,Back Basement Light
light.kitchen_windowseat_warm,Kitchen Window Seat Warm Light
light.upstairs_recreation_zigbee,Upstairs Recreation Light
light.downstairs_recreation_homekit,Downstairs Recreation Light
light.front_recreation_ge,Front Recreation Light
light.back_recreation_warm,Back Recreation Warm Light
light.kitchen_sideboard_cool,Kitchen Sideboard Cool Light
light.upstairs_courtyard_zwave,Upstairs Courtyard Light
light.downstairs_courtyard_mqtt,Downstairs Courtyard Light
light.front_courtyard_homekit,Front Courtyard Light
light.back_courtyard_lifx,Back Courtyard Light
light.kitchen_winecellar_warm,Kitchen Wine Cellar Warm Light
light.upstairs_arcade_zigbee,Upstairs Arcade Light
light.downstairs_arcade_homekit,Downstairs Arcade Light
light.front_arcade_ge,Front Arcade Light
light.back_arcade_warm,Back Arcade Warm Light
light.kitchen_pantry_cool,Kitchen Pantry Cool Light
light.upstairs_washroom_zwave,Upstairs Washroom Light
light.downstairs_washroom_mqtt,Downstairs Washroom Light
light.front_washroom_homekit,Front Washroom Light
light.back_washroom_lifx,Back Washroom Light
light.kitchen_fridge_warm,Kitchen Fridge Warm Light
light.upstairs_library_zigbee,Upstairs Library Light
light.downstairs_library_homekit,Downstairs Library Light
light.front_library_ge,Front Library Light
light.back_library_warm,Back Library Warm Light
light.kitchen_coffeecorner_cool,Kitchen Coffee Corner Cool Light
light.upstairs_playroom_zwave,Upstairs Playroom Light
light.downstairs_playroom_mqtt,Downstairs Playroom Light
light.front_playroom_homekit,Front Playroom Light
light.back_playroom_lifx,Back Playroom Light
light.kitchen_microwave_warm,Kitchen Microwave Warm Light
light.upstairs_observatory_zigbee,Upstairs Observatory Light
light.downstairs_observatory_homekit,Downstairs Observatory Light
light.front_observatory_ge,Front Observatory Light
light.back_observatory_warm,Back Observatory Warm Light
light.kitchen_toaster_cool,Kitchen Toaster Cool Light
light.upstairs_workout_zwave,Upstairs Workout Light
light.downstairs_workout_mqtt,Downstairs Workout Light
light.front_workout_homekit,Front Workout Light
light.back_workout_lifx,Back Workout Light
light.kitchen_display_warm,Kitchen Display Warm Light
light.upstairs_utility_zigbee,Upstairs Utility Light
light.downstairs_utility_homekit,Downstairs Utility Light
light.front_utility_ge,Front Utility Light
light.back_utility_warm,Back Utility Warm Light
light.kitchen_trashbin_cool,Kitchen Trash Bin Cool Light
light.upstairs_sitting_zwave,Upstairs Sitting Room Light
light.downstairs_sitting_mqtt,Downstairs Sitting Room Light
light.front_sitting_homekit,Front Sitting Room Light
light.back_sitting_lifx,Back Sitting Room Light
light.kitchen_freezer_warm,Kitchen Freezer Light
light.upstairs_zen_zigbee,Upstairs Zen Light
light.downstairs_zen_homekit,Downstairs Zen Light
light.front_zen_ge,Front Light
light.back_zen_warm,Back Zen Light
light.dining_room_chandelier,"Dining Room Chandelier"
light.chandelier_front_hallway,"Front Hallway Chandelier"
lock.back_door,"Back Door Lock"
lock.back_door,Backyard entry lock
lock.basement,"Basement Lock"
lock.bike_rack,Bike rack lock
lock.bike_storage,"Bike Storage Lock"
lock.file_cabinet,File cabinet lock
lock.front_door_1,Main entry lock
lock.front_door,"Front Door Lock"
lock.garage,"Garage Door Lock"
lock.guest_room,"Guest Room Lock"
lock.gun_safe,Gun safe lock
lock.mailbox,Secure mailbox lock
lock.master_bedroom,"Master Bedroom Lock"
lock.nursery,"Nursery Door Lock"
lock.office,"Office Lock"
lock.patio_door,Patio sliding door
lock.pool_gate,"Pool Gate Lock"
lock.pool_gate,Swimming pool gate
lock.safety_deposit,Safety deposit box
lock.schlage_smart,"Schlage Smart Lock"
lock.shed_2,Second shed lock
lock.tool_shed,"Tool Shed Lock"
lock.tool_shed,Tool shed lock
lock.utility_room,Utility room lock
lock.wine_cellar,"Wine Cellar Lock"
lock.wine_cellar,Wine cellar lock
lock.yale_kitchen,"Yale Kitchen"
lock.yale_living,"Yale Living Room"
lock.yoga_room,"Yoga Room Lock"
lock.attic,"Attic Door Lock"
lock.balcony_door,Balcony access lock
lock.bedroom_2,"Second Bedroom Lock"
lock.bedroom_3,"Third Bedroom Lock"
lock.boathouse,"Boathouse Lock"
lock.closet,"Closet Door Lock"
lock.conservatory,"Conservatory Lock"
lock.den,"Den Lock"
lock.dining_room,"Dining Room Lock"
lock.driveway_gate,Driveway gate lock
lock.electric_gate,Electric gate lock
lock.elevator,"Private Elevator Lock"
lock.fence_gate,Fence gate lock
lock.filing_room,"Filing Room Lock"
lock.front_gate,"Front Gate Lock"
lock.garden_gate,Garden gate lock
lock.greenhouse,"Greenhouse Lock"
lock.gym,"Home Gym Lock"
lock.hallway_closet,"Hallway Closet Lock"
lock.home_theater,"Home Theater Lock"
lock.kennel,"Animal Kennel Lock"
lock.kitchen_door,Kitchen entry lock
lock.laundry_room,"Laundry Room Lock"
lock.living_room,"Living Room Lock"
lock.loft,"Loft Lock"
lock.mudroom,"Mudroom Lock"
lock.music_room,"Music Room Lock"
lock.office_cabinet,Office cabinet lock
lock.pantry,"Pantry Lock"
lock.playroom,"Playroom Lock"
lock.porch_door,Porch door lock
lock.rear_gate,Rear gate lock
lock.rooftop_door,Rooftop access lock
lock.sauna,"Sauna Door Lock"
lock.secure_storage,Secure storage lock
lock.service_entrance,Service entrance lock
lock.side_door,Side entry lock
lock.side_gate,Side gate lock
lock.ski_storage,"Ski Storage Lock"
lock.stair_gate,Staircase gate lock
lock.storage_room,"Storage Room Lock"
lock.studio,"Studio Lock"
lock.sunroom,"Sunroom Lock"
lock.terrace_door,Terrace door lock
lock.vehicle_gate,Vehicle gate lock
lock.walk_in_closet,"Walk-In Closet Lock"
lock.workshop,"Workshop Lock"
lock.workshop_cabinet,Workshop cabinet lock
lock.yard_shed,"Yard Shed Lock"
media_player.apple_tv,Apple TV media player
media_player.basement,"Basement Media Player"
media_player.bose_bedroom,"Bose Bedroom"
media_player.bose_living,"Bose Living Room"
media_player.chrome_cast_bedroom,Bedroom Chromecast
media_player.chromecast,"Chromecast Media"
media_player.echo_dot,Kitchen Echo Dot
media_player.fire_tv_stick,Fire TV Stick
media_player.fire_tv,"Fire TV Media"
media_player.garage,"Garage Media Player"
media_player.guest_room,"Guest Room Media"
media_player.home_theater,"Home Theater Media"
media_player.ipad_kitchen,Kitchen iPad
media_player.kitchen,"Kitchen Media Player"
media_player.laptop_stream,Streaming laptop
media_player.living_room,"Living Room Media"
media_player.master_bedroom,"Master Bedroom Media"
media_player.nintendo_switch,Nintendo Switch
media_player.nursery,"Nursery Media Player"
media_player.office,"Office Media Player"
media_player.patio,"Patio Media Player"
media_player.ps5_living_room,Living room PS5
media_player.roku_bedroom,"Roku Master Bedroom"
media_player.roku_bedroom,Bedroom Roku player
media_player.roku_living,"Roku Living Room"
media_player.samsung_tv,Living room TV
media_player.sonos_bedroom,"Sonos Master Bedroom"
media_player.sonos_kitchen,"Sonos Kitchen"
media_player.sonos_kitchen,Kitchen Sonos speaker
media_player.sonos_living,"Sonos Living Room"
media_player.soundbar_living_room,Living room soundbar
media_player.xbox_den,Den Xbox console
media_player.sony_bravia_tv,Sony Smart LED TV
media_player.samsung_qled_tv,Samsung Quantum Dot TV
media_player.lg_oled_tv,LG OLED Television
media_player.panasonic_4k_bluray_player,Panasonic Blueray Player
media_player.denon_av_receiver,Denon Audio-Video Receiver
media_player.onkyo_tx_sr,Onkyo Home Theater Receiver
media_player.google_nest_hub,Google Assistant Smart Display
media_player.amazon_echo_show,Amazon Echo Smart Screen
media_player.apple_tv_4k,Apple 4K Streaming Device
media_player.roku_ultra,Roku High-Performance Streamer
media_player.xbox_one,Xbox One
media_player.playstation_5,Sony PS5
media_player.joes_ps5,"Joe's PS5"
media_player.nintendo_switch_dock,Nintendo Console Dock
media_player.sony_4k_projector,Sony Home Cinema Projector
media_player.epson_home_cinema,Epson Video Projector
media_player.bose_home_speaker,Bose Wireless Speaker
media_player.sonos_beam,Sonos Compact Soundbar
media_player.harman_kardon_aura,Harman Kardon Glass Speaker
media_player.bang_olufsen_beovision,B&O High-End Television
media_player.philips_ambilight_tv,Philips LED Backlit TV
media_player.vizio_smartcast_tv,Vizio Cast-Enabled TV
media_player.sony_ps_lx310bt,Sony Bluetooth Turntable
media_player.audio_technica_at_lp120,Audio-Technica Record Player
media_player.samsung_hw_q90r,Samsung Surround Soundbar
media_player.sonos_arc,Sonos Smart Soundbar
media_player.home_theater_system_living_room,Living Room Home Theater
media_player.desktop_computer_media_suite,Desktop Computer Media Center
media_player.wall_mounted_tv_bedroom,Bedroom Wall-Mounted TV
media_player.kitchen_radio,Kitchen Radio Player
media_player.bathroom_speaker_system,Waterproof Bathroom Speaker
media_player.garage_workshop_stereo,Garage Workshop Stereo
media_player.patio_outdoor_speakers,Patio Outdoor Speakers
media_player.basement_projector_setup,Basement Projector System
media_player.office_pc_speakers,Office Computer Speakers
media_player.bedside_alarm_clock_radio,Bedside Alarm Clock Radio
media_player.gaming_room_console,Gaming Room Console
media_player.lounge_hi_fi_system,Lounge Hi-Fi Audio
media_player.dining_room_jukebox,Dining Room Jukebox
media_player.guest_room_tv_set,Guest Room Television
media_player.study_room_audio_book_player,Study Audio Book Player
media_player.sunroom_cd_player,Sunroom CD Player
media_player.attic_vinyl_turntable,Attic Vinyl Record Player
media_player.backyard_outdoor_projector,Backyard Projector
media_player.entryway_voice_assistant,Entryway Voice Assistant
media_player.hallway_wall_speaker,Hallway Wall Speaker
switch.attic_lights,"Attic Lights Switch"
switch.balcony_lighting,Balcony lighting control
switch.basement_lights,"Basement Lights Switch"
switch.bathroom_fan,"Bathroom Fan Switch"
switch.bedroom_lights,"Bedroom Lights Switch"
switch.boathouse_lights,"Boathouse Lights Switch"
switch.closet_lighting,Closet lighting control
switch.conservatory_lights,"Conservatory Lights Switch"
switch.deck_lights,"Deck Lighting Switch"
switch.den_lights,"Den Lights Switch"
switch.dining_room_lights,"Dining Room Lights Switch"
switch.driveway_lights,Driveway lighting control
switch.front_gate_lighting,Front gate lights switch
switch.front_yard_lights,"Front Yard Lights Switch"
switch.garage_door_opener,"Garage Door Opener Switch"
switch.garden_lights,Garden lighting control
switch.guest_room_lights,"Guest Room Lights Switch"
switch.hallway_lights,"Hallway Lights Switch"
switch.home_theater_lighting,Home theater lights control
switch.kitchen_lights,"Kitchen Lights Switch"
switch.laundry_room_lights,"Laundry Room Lights Switch"
switch.living_room_lights,"Living Room Lights Switch"
switch.loft_lights,"Loft Lights Switch"
switch.master_bedroom_lights,"Master Bedroom Lights Switch"
switch.office_lights,"Office Lights Switch"
switch.outdoor_security_lights,"Outdoor Security Lights Switch"
switch.pantry_lights,"Pantry Lights Switch"
switch.patio_lights,"Patio Lights Switch"
switch.playroom_lights,"Playroom Lights Switch"
switch.pool_area_lighting,Pool area lighting control
switch.porch_lights,"Porch Lights Switch"
switch.rear_yard_lights,"Rear Yard Lights Switch"
switch.sauna_lights,"Sauna Lights Switch"
switch.security_system,Security system switch
switch.shed_lights,"Shed Lights Switch"
switch.stairway_lights,"Stairway Lights Switch"
switch.study_room_lights,"Study Room Lights Switch"
switch.sunroom_lights,"Sunroom Lights Switch"
switch.terrace_lighting,Terrace lighting control
switch.under_cabinet_lights,"Under Cabinet Lights Switch"
switch.utility_room_lights,"Utility Room Lights Switch"
switch.walkway_lights,"Walkway Lights Switch"
switch.warehouse_lights,"Warehouse Lights Switch"
switch.water_feature_lights,"Water Feature Lights Switch"
switch.workshop_lights,"Workshop Lights Switch"
switch.yard_floodlights,"Yard Floodlights Switch"
switch.zoo_enclosure_lighting,Zoo enclosure lighting control
switch.pool_pump,"Pool Pump Switch"
switch.irrigation_system,"Irrigation System Switch"
switch.garage_workshop_lights,"Garage Workshop Lights Switch"
climate.nest_learning,"Nest Learning Thermostat"
climate.ecobee_smart,"Ecobee SmartThermostat"
climate.honeywell_lyric_t6,"Honeywell Lyric T6 Pro"
climate.emerson_sensi_touch,"Emerson Sensi Touch Wi-Fi Thermostat"
climate.bosch_bcc100,"Bosch BCC100 Connected Control"
climate.johnson_glas,"Johnson Controls GLAS Smart Thermostat"
climate.thermostat_lux_geo,"Lux Geo Wi-Fi Thermostat"
climate.tado_smart,"Tado Smart Thermostat"
climate.trane_comfortlink_ii,"Trane ComfortLink II XL1050"
climate.carrier_cor,"Carrier Cor Wi-Fi Thermostat"
climate.netatmo_smart,"Netatmo Smart Thermostat"
climate.sinope_smart,"Sinopé Smart Thermostat"
climate.kono_thermostat,"Kono Smart Thermostat"
climate.mysa_smart_thermostat,"Mysa Smart Thermostat for Electric Baseboard Heaters"
climate.zen_wifi_thermostat,"Zen Thermostat WiFi Edition"
vacuum.living_room_roomba,"Living room vacuum"
vacuum.kitchen_xiaomi,"Kitchen vacuum"
vacuum.upstairs_dyson,"Upstairs dust buster"
vacuum.basement_deebot,"Basement deebot"
vacuum.master_bedroom_shark,"Master bedroom vacuum"
vacuum.garage_roomba_2,"Garage cleaning bot"
vacuum.under_sofa_cleaner,"Under sofa cleaner"
vacuum.dining_area_bissel,"Dining area dirt remover"
vacuum.hallway_neato,"Hallway path cleaner"
vacuum.entryway_eufy,"Entryway dust collector"
vacuum.patio_doorway_vac,"Patio doorway cleaner"
vacuum.left_corner_bot,"Left corner dirt sucker"
vacuum.right_stairwell_sweeper,"Right stairwell cleaner"
vacuum.upstairs_bathroom_vac,"Upstairs bathroom helper"
vacuum.downstairs_guest_room,"Downstairs guest room vac"
vacuum.smart_home_automator,"Smart home cleaning bot"
vacuum.above_stairs_robot,"Above stairs dusting device"
vacuum.under_bed_cleaner,"Under bed dust collector"
vacuum.front_hall_samsung,"Front hall sweeping bot"
vacuum.back_deck_sweeper,"Back deck area cleaner"
todo.daily_chores_list,"Daily chores tracker"
todo.grocery_shopping_list,"Grocery shopping organizer"
todo.weekend_projects,"Weekend DIY projects list"
todo.family_event_planner,"Family event planner"
todo.workout_routine_tracker,"Workout routine scheduler"
todo.kids_homework_deadlines,"Kids homework deadlines"
todo.pet_vaccination_schedule,"Pet vaccination scheduler"
todo.car_maintenance_log,"Car maintenance tracker"
todo.birthday_reminder_list,"Birthday reminder list"
todo.anniversary_planner,"Anniversary event planner"
todo.vacation_planning,"Vacation planning assistant"
todo.book_reading_list,"Reading list organizer"
todo.movie_watchlist,"Movie night watchlist"
todo.recipe_collection,"Recipe collection"
todo.home_renovation_planner,"Home renovation scheduler"
todo.garden_care_schedule,"Garden care planner"
todo.bill_payment_reminders,"Bill payment reminders"
todo.insurance_renewal_alerts,"Insurance renewal alerts"
todo.subscription_management,"Subscription management tool"
todo.warranty_tracker,"Warranty expiration tracker"
timer.kitchen_oven,"Kitchen oven timer"
timer.laundry_machine_1,"Laundry cycle tracker"
timer.garden_watering,"Garden watering scheduler"
timer.front_porch_lights,"Front porch light timer"
timer.backyard_floodlights,"Backyard floodlight controller"
timer.garage_door_1,"Garage door timer"
timer.bedroom_lamp_timer,"Bedroom lamp scheduler"
timer.dining_room_dimmer,"Dining room light timer"
timer.upstairs_hallway,"Upstairs hallway timer"
timer.downstairs_closet_light,"Downstairs closet timer"
timer.entryway_chandelier,"Entryway chandelier timer"
timer.patio_lighting,"Patio ambiance timer"
timer.driveway_security_lights,"Driveway security timer"
timer.kids_room_nightlight,"Kids room nightlight timer"
timer.timer0,"General purpose timer"
timer.timer7,"Custom timer 7"
