device_type,service,english_phrase,assistant_response,multiplier
garage_door|lock,open|unlock,Open <device_name1> and unlock <device_name2>,Opening <device_name1> and unlocking <device_name2>,1
light,toggle,Flip the <device_name> on or off,Flipping the <device_name> state,1
light,toggle,Switch the <device_name> state,Switching <device_name> state as requested,1
light,toggle,Toggle the <device_name> state,Toggling <device_name> for you,1
light,turn_off,Deactivate the <device_name>,Deactivating <device_name> as requested,1
light,turn_off,Please switch off the <device_name>,Switching off <device_name> now,1
light,turn_off,Turn off the <device_name>,"Sure, turning off <device_name>",1
light,turn_on,Activate the <device_name>,Activation of <device_name> in progress,1
light,turn_on,Can you turn on the <device_name>?,"Certainly, turning on <device_name> now",1
light,turn_on,Please switch on the <device_name>,Switching on <device_name> for you,1
light|blinds,turn_off|close,Turn off <device_name1> and close <device_name2>,Deactivating <device_name1> and closing <device_name2>,1
light|blinds|fan,turn_on|close|decrease_speed,Turn on <device_name1> close <device_name2> and slow down <device_name3>,Switching on <device_name1> lowering <device_name2> and reducing speed of <device_name3>,1
light|blinds|garage_door,turn_on|open|close,Turn on <device_name1> open <device_name2> and close <device_name3>,Switching on <device_name1> raising <device_name2> and shutting <device_name3>,1
light|blinds|lock,turn_off|close|lock,Turn off the <device_name1> close the <device_name2> and lock the <device_name3>,Turning off <device_name1> closing <device_name2> and locking <device_name3>,1
light|blinds|lock,turn_off|close|unlock,Turn off <device_name1> close <device_name2> and unlock <device_name3>,Deactivating <device_name1> closing <device_name2> and unlocking <device_name3>,1
light|fan,toggle|decrease_speed,Toggle <device_name1> and slow down <device_name2>,Toggling <device_name1> and reducing speed of <device_name2>,1
light|fan,toggle|increase_speed,Toggle <device_name1> and speed up <device_name2>,Toggling <device_name1> and increasing speed of <device_name2>,1
light|fan,turn_off|turn_on,Turn off the <device_name1> and turn on <device_name2>,Turning off <device_name1> and starting <device_name2>,1
light|fan,turn_on|toggle,Switch on <device_name1> and toggle <device_name2>,Activating <device_name1> and toggling <device_name2>,1
light|fan,turn_on|turn_off,Turn on the <device_name1> and turn off the <device_name2>,Turning on <device_name1> and turning off <device_name2>,1
light|fan,turn_on|turn_on,Turn on both the <device_name1> and <device_name2>,Turning on both <device_name1> and <device_name2>,1
light|fan,turn_on|turn_on,Turn on the <device_name1> and <device_name2>,Turning on <device_name1> and <device_name2>,1
light|fan|blinds,toggle|increase_speed|open,Toggle <device_name1> speed up <device_name2> and open <device_name3>,Flipping <device_name1> ramping up <device_name2> and lifting <device_name3>,1
light|fan|blinds,turn_off|decrease_speed|close,Turn off <device_name1> slow down <device_name2> and close <device_name3>,Switching off <device_name1> reducing speed of <device_name2> and lowering <device_name3>,1
light|fan|blinds,turn_off|turn_off|close,Turn off <device_name1> and <device_name2> and close <device_name3>,Deactivating <device_name1> and <device_name2> and lowering <device_name3>,1
light|fan|garage_door,toggle|decrease_speed|open,Toggle <device_name1> slow down <device_name2> and open <device_name3>,Toggling <device_name1> reducing speed of <device_name2> and opening <device_name3>,1
light|fan|garage_door,turn_off|turn_on|close,Turn off <device_name1> turn on <device_name2> and close <device_name3>,Switching off <device_name1> activating <device_name2> and shutting <device_name3>,1
light|fan|garage_door,turn_on|toggle|open,Switch on the <device_name1> flip the <device_name2> and lift the <device_name3>,Switching on <device_name1> flipping <device_name2> and lifting <device_name3>,1
light|fan|garage_door,turn_on|turn_on|open,Turn on <device_name1> and <device_name2> and open <device_name3>,Activating <device_name1> and <device_name2> and opening <device_name3>,1
light|fan|lock,toggle|toggle|lock,Toggle both <device_name1> and <device_name2> and lock <device_name3>,Toggling <device_name1> and <device_name2> and securing <device_name3>,1
light|fan|lock,turn_off|turn_off|unlock,Turn off <device_name1> and <device_name2> and unlock <device_name3>,Deactivating <device_name1> and <device_name2> and unsecuring <device_name3>,1
light|fan|lock,turn_on|increase_speed|lock,Turn on <device_name1> speed up <device_name2> and lock <device_name3>,Switching on <device_name1> increasing speed of <device_name2> and locking <device_name3>,1
light|fan|lock,turn_on|turn_on|unlock,Turn on both <device_name1> and <device_name2> and unlock <device_name3>,Activating <device_name1> and <device_name2> and unsecuring <device_name3>,1
light|garage_door,toggle|stop,Toggle the <device_name1> and stop the <device_name2>,Toggling <device_name1> and stopping <device_name2>,1
light|garage_door,turn_on|open,Switch on <device_name1> and open <device_name2>,Activating <device_name1> and opening <device_name2>,1
light|garage_door,turn_on|open,Switch on the <device_name1> and open the <device_name2>,Switching on <device_name1> and opening <device_name2>,1
light|garage_door|lock,turn_on|open|lock,Turn on <device_name1> open <device_name2> and lock <device_name3>,Activating <device_name1> lifting <device_name2> and locking <device_name3>,1
light|light,toggle|toggle,Toggle both <device_name1> and <device_name2>,Toggling <device_name1> and <device_name2>,1
light|light,turn_on|turn_off,Turn on <device_name1> and turn off <device_name2>,Turning on <device_name1> and deactivating <device_name2>,1
light|light|fan,toggle|toggle|decrease_speed,Toggle both <device_name1> and <device_name2> and slow down <device_name3>,Flipping <device_name1> and <device_name2> and reducing speed of <device_name3>,1
light|light|fan,toggle|turn_on|increase_speed,Toggle <device_name1> turn on <device_name2> and speed up <device_name3>,Flipping <device_name1> activating <device_name2> and speeding up <device_name3>,1
light|light|fan,turn_on|turn_off|toggle,Turn on <device_name1> turn off <device_name2> and toggle <device_name3>,Activating <device_name1> deactivating <device_name2> and toggling <device_name3>,1
light|lock,turn_on|lock,Turn on <device_name1> and lock <device_name2>,Activating <device_name1> and locking <device_name2>,1
lock,lock,Engage the <device_name> lock,Engaging lock on <device_name>,1
lock,lock,Lock the <device_name>,Locking <device_name> now,1
lock,lock,Secure the <device_name>,Securing <device_name> for you,1
lock,unlock,Disengage the <device_name> lock,Disengaging lock on <device_name>,1
lock,unlock,Unlock the <device_name>,Unlocking <device_name> now,1
lock,unlock,Unsecure the <device_name>,Unsecuring <device_name> for you,1
lock|blinds,lock|close,Lock the <device_name1> and lower the <device_name2>,Locking <device_name1> and lowering <device_name2>,1
lock|garage_door,lock|close,Secure the <device_name1> and shut the <device_name2>,Securing <device_name1> and shutting <device_name2>,1
light,turn_on,Make sure the <device_name> is on,Turning on <device_name>,1
fan,turn_on,Make sure the <device_name> is on,Turning on <device_name>,1
lock|lock|garage_door,lock|lock|close,Make sure <device_name1> and <device_name2> are locked and the <device_name3> is closed,Sure. Locking <device_name1> and <device_name2> and closing <device_name3>,1
light,turn_off,Ensure the <device_name> is off,Turning off <device_name>,1
fan,turn_off,Ensure the <device_name> is off,Turning off <device_name>,1
garage_door,close,Make certain the <device_name> is closed,Closing <device_name>,1
blinds,open,See to it that the <device_name> are open,Raising <device_name>,1
lock,lock,Ensure <device_name> is secure,Locking <device_name>,1
light,toggle,Can you flip the <device_name>,Toggling <device_name>,1
fan,increase_speed,Step up the speed of the <device_name>,Increasing speed of <device_name>,1
garage_door,open,Make certain the <device_name> is open,Opening <device_name>,1
blinds,close,See to it that the <device_name> are closed,Lowering <device_name>,1
lock,unlock,Make sure <device_name> is unlocked,Unlocking <device_name>,1
fan,decrease_speed,Slow down the <device_name>,Reducing speed of <device_name>,1
light,turn_on,Confirm that the <device_name> is on,Activating <device_name>,1
garage_door,stop,Stop the <device_name> right now,Stopping <device_name>,1
light,turn_off,Confirm that the <device_name> is off,Deactivating <device_name>,1
garage_door,toggle,Toggle the <device_name> position,Toggling <device_name>,1
blinds,toggle,Switch the state of the <device_name>,Toggling <device_name>,1
lock,lock,Lock down the <device_name>,Securing <device_name>,1
fan,turn_on,Make certain the <device_name> is running,Starting <device_name>,1
switch,turn_on,Can you turn on <device_name>?,Turning on <device_name> now.,1
switch,turn_off,Please switch off <device_name>.,Switching off <device_name>.,1
switch,toggle,Could you toggle <device_name>?,Toggling <device_name>.,1
switch,turn_on,"I need <device_name> on, please.",I'm turning on <device_name>.,1
switch,turn_off,"Turn off <device_name>, will you?",Turning off <device_name>.,1
switch,toggle,Can <device_name> be toggled?,"Yes, toggling <device_name>.",1
switch,turn_on,Activate <device_name>.,Activating <device_name>.,1
switch,turn_off,Deactivate <device_name>.,Deactivating <device_name>.,1
switch,toggle,Is it possible to toggle the <device_name>?,"Yes, I can toggle <device_name>.",1
switch,turn_on,Let's have <device_name> on.,"Sure, turning <device_name> on.",1
switch,turn_off,We don't need <device_name> on anymore.,"Okay, turning <device_name> off.",1
switch,toggle,Toggle <device_name> for me.,Toggling <device_name> as requested.,1
switch,turn_on,"Switch on <device_name>, please.",Switching on <device_name> right away.,1
switch,turn_off,I'd like <device_name> off now.,"Okay, I'm turning off <device_name>.",1
switch,toggle,Can you change the state of <device_name>?,Changing the state of <device_name>.,1
switch,turn_on,Please turn on <device_name>.,"Sure, lighting up <device_name> now.",1
switch,turn_off,"Shut off <device_name>, it's bedtime.",Shutting off <device_name> for bedtime.,1
switch,toggle,"A quick toggle of <device_name>, please.",Quickly toggling <device_name>.,1
switch,turn_on,<device_name> needs to be on.,Turning <device_name> on as needed.,1
switch,turn_off,Time to turn <device_name> off.,Turning off <device_name> now.,1
media_player,volume_up,Increase the volume on <device_name>.,Increasing <device_name>'s volume.,1
media_player,volume_up,Turn up <device_name> a bit.,Turning up <device_name> a bit.,1
media_player,volume_up,"Louder on <device_name>, please.",Making <device_name> louder.,1
media_player,volume_down,Can you lower <device_name>'s volume?,Lowering <device_name>'s volume.,1
media_player,volume_down,Decrease the volume on <device_name>.,Decreasing <device_name>'s volume.,1
media_player,volume_down,"Turn down <device_name>, please.",Turning down <device_name>.,1
media_player,volume_mute,"Mute <device_name>, please.",Muting <device_name>.,1
media_player,volume_mute,Silence <device_name> for a moment.,Silencing <device_name>.,1
media_player,volume_mute,Can you mute <device_name>?,Muting <device_name> now.,1
media_player,media_play,Start playing on <device_name>.,Starting playback on <device_name>.,1
media_player,media_play,Can you play <device_name>?,Playing <device_name> now.,1
media_player,media_play,"Play the media on <device_name>, please.",Playing media on <device_name>.,1
media_player,media_pause,Pause <device_name>.,Pausing <device_name>.,1
media_player,media_pause,Can you pause <device_name>?,Pausing <device_name> now.,1
media_player,media_pause,"Hold the playback on <device_name>, please.",Holding playback on <device_name>.,1
media_player,media_stop,Stop <device_name> completely.,Stopping <device_name> completely.,1
media_player,media_stop,Can you stop playback on <device_name>?,Stopping playback on <device_name>.,1
media_player,media_stop,"End the session on <device_name>, please.",Ending session on <device_name>.,1
media_player,media_next_track,"Next track on <device_name>, please.",Skipping to next track on <device_name>.,1
media_player,media_next_track,Advance <device_name> to the next song.,Advancing to the next song on <device_name>.,1
media_player,media_next_track,Skip this track on <device_name>.,Skipping this track on <device_name>.,1
media_player,media_previous_track,"Previous track on <device_name>, please.",Going back to previous track on <device_name>.,1
media_player,media_previous_track,Rewind to the previous song on <device_name>.,Rewinding to the previous song on <device_name>.,1
media_player,media_previous_track,Can we go back a track on <device_name>?,Going back a track on <device_name>.,1
climate,set_temperature,Set the temperature to <temp_f> degrees.,Setting temperature to <temp_f> degrees.,8
climate,set_temperature,Can you change the temperature to <temp_c> Celsius?,Changing temperature to <temp_c> Celsius.,8
climate,set_temperature,"I'd like the room at <temp_f> degrees Fahrenheit, please.",Setting the room to <temp_f> degrees Fahrenheit.,8
climate,set_temperature,Please adjust the temperature to <temp_f> degrees.,Adjusting temperature to <temp_f> degrees Fahrenheit.,8
climate,set_temperature,"I want the room cooler, set it to <temp_c> degrees.",Setting the room to <temp_c> degrees Celsius for cooler temperature.,8
climate,set_temperature,"Make it warmer, set temperature at <temp_f> degrees.","Making it warmer, setting temperature to <temp_f> degrees.",8
climate,set_temperature,Can you lower the temperature to <temp_c>?,Lowering the temperature to <temp_c> Celsius.,8
climate,set_temperature,"Raise the temperature to <temp_f> degrees, please.",Raising the temperature to <temp_f> degrees Fahrenheit.,8
climate,set_humidity,Increase the humidity to <temp_c>.,Increasing humidity to <temp_c>.,8
climate,set_humidity,Set the humidity level to <humidity> percent.,Setting humidity to <humidity> percent.,8
climate,set_humidity,Can you adjust the humidity to <humidity> percent?,Adjusting humidity to <humidity>%.,8
climate,set_fan_mode,Set the fan to high speed.,Setting the fan to high speed.,8
climate,set_fan_mode,Please put the fan on low.,Putting the fan on low.,8
climate,set_fan_mode,Change the fan setting to medium.,Changing the fan to medium setting.,8
climate,set_hvac_mode,Switch the system to cooling mode.,Switching to cooling mode.,8
climate,set_hvac_mode,Can we set the HVAC to heat?,Setting the HVAC to heat.,8
climate,set_hvac_mode,Change the HVAC to automatic.,Changing HVAC to automatic mode.,8
light,turn_on,Set the brightness of <device_name> to <brightness>%.,Setting the brightness of <device_name> to <brightness>%.,8
light,turn_on,Dim <device_name> to <brightness> percent brightness.,Dimming <device_name> to <brightness>% brightness.,8
light,turn_on,Brighten <device_name> to <brightness>.,Brightening <device_name> to <brightness>%.,8
light,turn_on,Adjust <device_name> brightness to <brightness>.,Adjusting <device_name> brightness to <brightness>.,8
light,turn_on,Increase <device_name>'s brightness to <brightness>.,Increasing <device_name>'s brightness to <brightness>.,8
light,turn_on,Lower the brightness of <device_name> to <brightness>.,Lowering the brightness of <device_name> to <brightness>.,8
light,turn_on,Can you set <device_name>'s brightness level to <brightness> percent?,Setting <device_name>'s brightness level to <brightness>%.,8
light,turn_on,"I'd like <device_name> at <brightness> percent brightness, please.",Setting <device_name> to <brightness>% brightness.,8
light,turn_on,Can you make <device_name> <color>?,Turning <device_name> <color>.,8
light,turn_on,Change the color of <device_name> to <color>.,Changing the color of <device_name> to <color>.,8
light,turn_on,Change <device_name> to a <color> hue.,Changing <device_name> to a <color> hue.,8
light,turn_on,Set <device_name> to be <color>.,Setting <device_name> to be <color>.,8
light,turn_on,"I want <device_name> to be <color>, please.",Setting <device_name> to be <color>.,8
light,turn_on,Can you make <device_name> shine in <color>?,Making <device_name> shine in <color>.,8
light,turn_on,Turn <device_name> to a <color> shade.,Turning <device_name> to a <color> shade.,8
light,turn_on,Turn <device_name> <color>.,Turning <device_name> <color>.,8
light,turn_on,I want <device_name> at a <color> setting.,Setting <device_name> to a <color>.,8
light,turn_on,Set <device_name> to a <color> color.,Setting <device_name> to a <color> color.,8
light,turn_on,Please set <device_name> to a <color> color.,Setting <device_name> to a <color> color.,8
light,turn_on,Make <device_name> glow <color>.,Making <device_name> glow <color>.,8
light,turn_on,Could you turn <device_name> to <color>?,Turning <device_name> to <color>.,8
light,turn_on,Please change <device_name> to <color>.,Changing <device_name> to <color>.,8
light,turn_on,Adjust <device_name> to <color> color.,Adjusting <device_name> to <color> color.,8
light,turn_on,Switch <device_name> color to <color>.,Switching <device_name> color to <color>.,8
light,turn_on,Can <device_name> be <color> now?,Setting <device_name> to be <color>.,8
light,turn_on,Let's have <device_name> in <color>.,Setting <device_name> in <color>.,8
light,turn_on,I'd like <device_name> to change to <color>.,Changing <device_name> to <color>.,8
light,turn_on,Can <device_name> display a <color> light?,Making <device_name> display a <color> light.,8
light,turn_on,"Set <device_name> color to <color>, please.",Setting <device_name> color to <color>.,8
vacuum,start,Can you please clean the <device_name>?,"Sure, I'll take care of it!",8
vacuum,start,Clean the <device_name> quickly.,"Alright, I'll get started on that right away.",8
vacuum,start,Will you please vacuum the <device_name>?,I'll make sure to do that!,8
vacuum,start,Can you please make sure <device_name> is free of any dirt or mess?,"Yes, I will take care of it right away.",8
vacuum,start,Will you please tidy up <device_name>?,"Sure, I'll take care of it!",8
vacuum,start,Can you please make sure there are no messes <device_name>?,"Sure, I'll take care of it!",8
vacuum,start,Can you turn on <device_name>?,"Sure, I'll take care of it!",8
vacuum,start,Turn on <device_name>.,"Alright, I'll get started on that right away.",8
vacuum,start,Please turn on the <device_name> vacuum.,I'll make sure to do that!,8
vacuum,start,Turn on <device_name> now.,"Sure, I'll take care of it!",8
vacuum,start,Will you please turn on <device_name>?,"Alright, I'll get started on that right away.",8
vacuum,stop,Can you please turn off <device_name>?,"Sure, I'll take care of it!",8
vacuum,stop,Turn off the <device_name> vacuum.,"Alright, I'll get started on that right away.",8
vacuum,stop,Will you please turn off <device_name>?,I'll make sure to do that!,8
vacuum,stop,Turn off <device_name> vacuum please?,"Yes, I will take care of it right away.",8
vacuum,stop,Stop the <device_name> vacuum.,"Sure, I'll take care of it!",8
vacuum,stop,Stop <device_name>.,"Sure, I'll take care of it!",8
vacuum,stop,Can you turn off <device_name>?,"Sure, I'll take care of it!",8
vacuum,stop,Stop the <device_name> vacuum.,"Alright, I'll get started on that right away.",8
vacuum,stop,Please stop the <device_name> vacuum.,I'll make sure to do that!,8
vacuum,stop,Turn off <device_name> now.,"Sure, I'll take care of it!",8
vacuum,stop,Will you please turn off <device_name>?,"Alright, I'll get started on that right away.",8
vacuum,return_to_base,Send <device_name> back home.,Sending <device_name> back home.,8
vacuum,return_to_base,Send <device_name> vacuum back home.,Sending the <device_name> vacuum back home.,8
vacuum,return_to_base,Send <device_name> back to its base.,Sending <device_name> back to its base.,8
vacuum,return_to_base,Send <device_name> vacuum back to its base.,Sending <device_name> vacuum back to its base.,8
todo,add_item,Please add <item> to my <device_name>.,"Yes, I can add <item> to your <device_name>.",8
todo,add_item,Can you add <item> to the <device_name>?,"Yes, added <item> to the <device_name>.",8
todo,add_item,I need <item> added to my <device_name>.,I will add <item> to the <device_name> for you.,8
todo,add_item,Go ahead and add <item> to the <device_name>.,Added <item> to the <device_name>.,8
todo,add_item,Could you please input <item> into my <device_name>?,"Yes, I can input <item> into your <device_name>.",8
todo,add_item,Kindly insert <item> onto the <device_name>.,I inserted <item> onto the <device_name> for you.,8
todo,add_item,May I request that <item> be included in the <device_name>?,I will grant your request and include <item> in the <device_name>.,8
todo,add_item,It would be much appreciated if <item> could be put on the <device_name>.,"Yes, I will put <item> on the <device_name>.",8
todo,add_item,Shall we append <item> to my <device_name>?,"Yes, we can add <item> to the <device_name>.",8
todo,add_item,"Let's add <item> to the <device_name>, shall we?",I am happy to place <item> onto the <device_name>.,8
todo,add_item,Could you place <item> onto my <device_name>?,I will be happy to incorporate <item> into the <device_name> for you.,8
todo,add_item,Will you be so kind as to incorporate <item> into the <device_name>?,"Yes, I have included <item> in the <device_name>.",8
todo,add_item,Is it possible to include <item> in the <device_name>?,I will add <item> to your <device_name>.,8
todo,add_item,Could we add <item> to my <device_name>?,I will add <item> to your <device_name>.,8
input_select,select_option,Set <device_name> to <option>.,I will set <device_name> to <option>.,8
input_select,select_option,Can you please modify <device_name> and select the <option>?,Setting <option>.,8
input_select,select_option,I'd like to request that <device_name> be configured with the setting <option>.,<option> set.,8
input_select,select_option,May I kindly ask you to set the configuration of <device_name> to <option>?,<device_name> has been set to <option>.,8
input_select,select_option,Please adjust the settings of <device_name> and choose the <option>.,I will adjust the settings of <device_name> and choose the <option>.,8
input_select,select_option,Could we please change the mode of <device_name> to <option>?,Changing the mode of <device_name> to <option>.,8
input_select,select_option,Set the <option> on <device_name>.,<option> has been set.,8
input_select,select_option,I'd appreciate if you could update the settings for <device_name> and set it to the <option>.,<device_name> has been set to <option>.,8
input_select,select_option,May we make the following adjustment: configure <device_name> with the <option>?,"Yes, configuring <device_name> with the <option> setting.",8
input_select,select_option,Could you please make sure that <device_name> utilizes the setting <option>?,I will ensure that <device_name> utilizes the setting <option>.,8
input_select,select_option,I'd like to request your assistance in setting <device_name> to <option>.,I'd be happy to assist you in setting <device_name> to <option>.,8
input_select,select_option,Set <device_name> to the <option> mode.,Set <device_name> to the <option> setting.,8
input_select,select_option,Can we please alter the configuration of <device_name> and select the <option>?,I will do that right away.,8
timer,start,Please set my <device_name> for <duration>.,Setting a <device_name> timer for <duration>.,8
timer,start,Turn on the <device_name> timer for <duration>.,The <device_name> timer with go off in <duration>.,8
timer,start,Set the <device_name> for <duration>.,The <device_name> timer is now set to <duration>.,8
timer,start,Start the <device_name> timer for <duration>.,I've started a <device_name> timer for <duration>.,8
timer,start,Set a <duration> <device_name>.,The <device_name> timer has been set to <duration>.,8
timer,cancel,Cancel the <device_name> timer.,I've turned off the <device_name> timer ,8
timer,cancel,Please stop my <device_name>.,The <device_name> timer  has been deactivated.,8
timer,cancel,Turn off the <device_name>.,Cancelling the <device_name> timer.,8
timer,cancel,Please shut off the <device_name> timer.,"Right away, cancelling the <device_name> timer.",8
timer,cancel,The <device_name> is no longer needed.,I'll cancel that timer right away.,8
