device_name,english_phrase,service_name
light.chandelier_front_hallway,"Hey can you turn on the front hallway chandelier",turn_on
lock.back_door,"Could you disengage the back door lock",unlock
lock.back_door,"Engage the back door lock",lock
lock.bike_storage,"Disengage the lock on the bike storage",unlock
lock.front_door,"Lock the front door",lock
lock.front_door,"Unlock the front door",unlock
lock.nursery,"Can you secure the nursery door",lock
lock.office,"Please lock the office",lock
lock.office,"Please unlock the office",unlock
lock.tool_shed,"Unlock the tool shed",unlock
lock.wine_cellar,"Could you lock the wine cellar",lock
lock.front_door,"Please lock the front door.",lock
lock.back_door,"Can you unlock the back door?",unlock
lock.garage_door,"I need the garage door locked.",lock
lock.patio_door,"Unlock the patio door, please.",unlock
lock.main_gate,"Ensure the main gate is locked.",lock
lock.kitchen_window,"Open the lock on the kitchen window.",unlock
lock.office_door,"Can we lock the office door?",lock
lock.bedroom_window,"Bedroom window needs to be unlocked.",unlock
lock.basement_door,"Lock up the basement door.",lock
lock.bathroom_window,"Could you unlock the bathroom window?",unlock
lock.garden_gate,"Please secure the garden gate.",lock
lock.rooftop_door,"Open the rooftop door lock.",unlock
lock.cellar_door,"Cellar door should be locked now.",lock
lock.pool_gate,"I'd like the pool gate unlocked.",unlock
lock.shed_door,"Ensure the shed door is securely locked.",lock
lock.balcony_door,"Unlock the balcony door for me.",unlock
lock.laundry_room_door,"Can you lock the laundry room door?",lock
lock.nursery_door,"The nursery door needs to be unlocked.",unlock
lock.guest_room_door,"Please lock the guest room door.",lock
lock.side_entrance,"Unlock our side entrance.",unlock
lock.fence_gate,"Make sure the fence gate is locked.",lock
lock.garage_side_door,"Garage side door should be unlocked.",unlock
lock.attic_door,"Attic door needs locking.",lock
lock.fire_escape,"Can you unlock the fire escape?",unlock
lock.storage_room_door,"Please lock the storage room door.",lock
lock.boathouse_door,"Unlock the boathouse door.",unlock
lock.carport_gate,"Carport gate needs to be locked.",lock
lock.backyard_gate,"Can we have the backyard gate unlocked?",unlock
lock.front_porch_door,"Lock the front porch door.",lock
lock.back_terrace_door,"Open the lock on the back terrace door.",unlock
lock.wine_cellar,"Ensure the wine cellar is locked.",lock
lock.sunroom_door,"Please unlock the sunroom door.",unlock
lock.home_office,"I'd like the home office locked up.",lock
lock.playroom_door,"Can you unlock the playroom door?",unlock
lock.art_studio,"The art studio should be locked.",lock
lock.music_room,"Unlock the music room, please.",unlock
lock.home_gym,"Lock the home gym door.",lock
lock.cinema_room,"Cinema room needs to be unlocked.",unlock
lock.library_door,"Please lock the library door.",lock
lock.conservatory,"Can the conservatory be unlocked?",unlock
media_player.kitchen,"Could you start the media in the kitchen",turn_on
media_player.kitchen,"Play the previous track in the kitchen",media_previous_track
media_player.kitchen,"Please raise the volume in the kitchen",volume_up
media_player.living_room,"Activate the media in the living room",turn_on
media_player.living_room,"Mute the media player in the living room",volume_mute
media_player.living_room,"Skip to the next track in the living room",media_next_track
media_player.living_room,"Turn up the volume in the living room",volume_up
media_player.master_bedroom,"Can you increase the volume on the master bedroom media player",volume_up
media_player.master_bedroom,"Pause the media in the master bedroom",media_pause
media_player.master_bedroom,"Turn on the master bedroom media player",turn_on
media_player.nursery,"Please play the media in the nursery",media_play
media_player.nursery,"Stop the media in the nursery",media_stop
media_player.nursery,"Turn down the volume in the nursery",volume_down
media_player.office,"Can you decrease the volume in the office",volume_down
media_player.living_room_tv,"Please turn on the living room TV.",turn_on
media_player.kitchen_radio,"Switch off the kitchen radio.",turn_off
media_player.bedroom_speaker,"Can you increase the volume in the bedroom?",volume_up
media_player.office_sound_system,"Lower the volume in the office.",volume_down
media_player.garage_stereo,"Mute the stereo in the garage.",volume_mute
media_player.patio_speaker,"Start playing music on the patio speaker.",media_play
media_player.bathroom_audio,"Pause the bathroom audio.",media_pause
media_player.guest_room_media,"Stop the guest room media player.",media_stop
media_player.basement_home_theater,"Skip to the next track in the basement.",media_next_track
media_player.nursery_lullaby,"Go back to the previous lullaby in the nursery.",media_previous_track
media_player.deck_music_system,"Turn on the deck's music system.",turn_on
media_player.lounge_entertainment,"Switch off the lounge entertainment center.",turn_off
media_player.dining_area_jukebox,"Increase the jukebox volume in the dining area.",volume_up
media_player.game_room_speakers,"Turn down the game room speakers.",volume_down
media_player.library_soundbar,"Mute the soundbar in the library.",volume_mute
media_player.sunroom_stereo,"Play the stereo in the sunroom.",media_play
media_player.loft_tv,"Pause the TV in the loft.",media_pause
media_player.poolside_media,"Stop the poolside media system.",media_stop
media_player.gym_music_player,"Skip to the next song in the gym.",media_next_track
media_player.study_room_radio,"Go back to the previous station in the study room.",media_previous_track
media_player.backyard_speakers,"Turn on the backyard speakers.",turn_on
media_player.entryway_echo,"Turn off the Echo in the entryway.",turn_off
media_player.rooftop_deck_audio,"Raise the rooftop audio volume.",volume_up
media_player.workshop_sound_system,"Lower the sound system volume in the workshop.",volume_down
media_player.art_studio_player,"Mute the media player in the art studio.",volume_mute
media_player.kids_room_storyteller,"Start the storyteller in the kids' room.",media_play
media_player.laundry_room_radio,"Pause the radio in the laundry room.",media_pause
media_player.balcony_speakers,"Stop the balcony speakers.",media_stop
media_player.yoga_room_music,"Next track for the yoga room music.",media_next_track
media_player.conservatory_cd_player,"Previous track on the conservatory CD player.",media_previous_track
media_player.foyer_sound_system,"Power on the foyer sound system.",turn_on
media_player.wine_cellar_speakers,"Power off the speakers in the wine cellar.",turn_off
media_player.greenhouse_radio,"Increase the greenhouse radio volume.",volume_up
media_player.attic_audio_system,"Decrease attic audio system volume.",volume_down
media_player.boathouse_stereo,"Mute the stereo in the boathouse.",volume_mute
media_player.cellar_jukebox,"Play the jukebox in the cellar.",media_play
media_player.corridor_intercom,"Pause the corridor intercom.",media_pause
media_player.porch_sound_system,"Stop the porch sound system.",media_stop
media_player.garden_music,"Next track for the garden music.",media_next_track
media_player.driveway_speakers,"Previous track on the driveway speakers.",media_previous_track
media_player.hallway_audio,"Switch on the hallway audio system.",turn_on
media_player.mudroom_media_player,"Switch off the mudroom media player.",turn_off
media_player.utility_room_radio,"Turn up the utility room radio.",volume_up
media_player.shed_sound_system,"Turn down the shed sound system.",volume_down
media_player.treehouse_speakers,"Mute the treehouse speakers.",volume_mute
switch.philips_hue_living_room,"Turn on the living room lights.",turn_on
switch.belkin_wemo_garage,"Turn off the garage switch.",turn_off
switch.tp_link_kasa_porch,"Toggle the porch lights.",toggle
switch.legrand_radiant_kitchen,"Turn on the kitchen lights.",turn_on
switch.lutron_caseta_bedroom,"Turn off the bedroom lights.",turn_off
switch.ge_z_wave_bathroom,"Turn on the bathroom fan.",turn_on
switch.honeywell_home_office,"Toggle the office lights.",toggle
switch.samsung_smartthings_security,"Turn off the security system.",turn_off
switch.eve_energy_balcony,"Turn on the balcony lighting.",turn_on
switch.fibaro_pool,"Turn off the pool lights.",turn_off
switch.nest_thermostat_terrace,"Turn on the terrace thermostat.",turn_on
switch.ecobee_garden,"Turn off the garden lights.",turn_off
switch.sonoff_dining_room,"Toggle the dining room lights.",toggle
switch.wink_relay_driveway,"Turn on the driveway lights.",turn_on
switch.insteon_patio,"Turn off the patio lights.",turn_off
switch.sengled_deck,"Turn on the deck lighting.",turn_on
switch.osram_hallway,"Toggle the hallway lights.",toggle
switch.yeelight_sunroom,"Turn off the sunroom lights.",turn_off
switch.gosund_attic,"Turn on the attic light switch.",turn_on
switch.meross_walkway,"Turn off the walkway lighting.",turn_off
switch.koogeek_basement,"Toggle the basement lights.",toggle
switch.nanoleaf_stairway,"Turn on the stairway lights.",turn_on
switch.xiaomi_bedside,"Turn off the bedside lamp.",turn_off
switch.arlo_floodlights,"Toggle the security floodlights.",toggle
switch.wyze_study,"Turn on the study room lights.",turn_on
switch.ikea_guest_room,"Turn off the guest room lights.",turn_off
switch.netatmo_front_yard,"Turn on the front yard lighting.",turn_on
switch.tuya_shed,"Turn off the shed light switch.",turn_off
switch.broadlink_kitchenette,"Toggle the kitchenette lights.",toggle
switch.moeshouse_gym,"Turn on the gym lighting.",turn_on
switch.hue_bedroom_2,"Turn off the second bedroom lights.",turn_off
switch.wemo_laundry_room,"Turn on the laundry room lights.",turn_on
switch.kasa_living_room,"Toggle the living room lights.",toggle
switch.radiant_office,"Turn off the office lights.",turn_off
switch.caseta_hallway_2,"Turn on the second hallway lights.",turn_on
switch.z_wave_guest_bathroom,"Turn off the guest bathroom fan.",turn_off
switch.home_office_dimmer,"Toggle the home office dimmer.",toggle
switch.security_camera_light,"Turn on the security camera light.",turn_on
switch.patio_heater_switch,"Turn off the patio heater.",turn_off
switch.kitchen_under_cabinet,"Toggle the kitchen under cabinet lights.",toggle
switch.hallway_dimmer,"Could you dim the hallway lights?",turn_on
switch.kitchen_fan,"Please turn off the kitchen fan.",turn_off
switch.garden_spotlights,"Activate the garden spotlights.",turn_on
switch.poolside_lanterns,"Deactivate the poolside lanterns.",turn_off
switch.front_porch_sensor,"Engage the front porch sensor light.",turn_on
switch.backyard_floodlight,"Can you shut off the backyard floodlight?",turn_off
switch.staircase_light_strip,"Could you light up the staircase light strip?",turn_on
switch.laundry_area,"Please switch off the laundry area lights.",turn_off
switch.office_desk_lamp,"Illuminate the desk lamp in my office.",turn_on
switch.basement_sconces,"Can we turn down the basement sconces?",turn_off
switch.library_ceiling,"Engage the ceiling lights in the library.",turn_on
switch.sunroom_blinds,"I'd like the sunroom blinds closed, please.",turn_off
switch.guest_bathroom,"Light up the guest bathroom, please.",turn_on
switch.patio_string_lights,"Switch off the string lights on the patio.",turn_off
switch.kitchen_island,"Disable the kitchen island lights.",turn_off
switch.entryway_chandelier,"Illuminate the entryway chandelier.",turn_on
switch.garage_worklight,"Can we power down the garage worklight?",turn_off
switch.bedroom_track_lighting,"Brighten the bedroom track lighting.",turn_on
switch.home_cinema,"Please turn off the home cinema lights.",turn_off
switch.balcony_mood_lighting,"Activate the mood lighting on the balcony.",turn_on
switch.dining_room_dimmer,"Set the dining room lights to off.",turn_off
switch.playroom_nightlight,"Can you turn on the playroom nightlight?",turn_on
switch.art_studio_spots,"Please disable the art studio spotlights.",turn_off
switch.foyer_wall_sconce,"Light up the foyer wall sconce.",turn_on
switch.back_entry,"Shut down the back entry lights.",turn_off
switch.corridor_track,"Brighten up the corridor track lights.",turn_on
switch.veranda_fairy_lights,"Switch off the veranda fairy lights, please.",turn_off
switch.master_suite,"Set the master suite to nighttime mode.",turn_on
switch.walk_in_closet,"Disable the walk-in closet lights.",turn_off
switch.roof_deck,"Engage the roof deck lighting.",turn_on
switch.bathroom_mirror,"Can you turn off the bathroom mirror light?",turn_off
switch.storage_room,"Please power down the storage room lights.",turn_off
switch.wine_cellar,"Illuminate the wine cellar.",turn_on
switch.conservation_area,"Deactivate the conservation area lighting.",turn_off
switch.gym_ceiling,"Light up the gym ceiling lights.",turn_on
switch.hobby_room,"Could we turn off the hobby room lights?",turn_off
switch.front_lawn,"Activate the front lawn spotlights.",turn_on
switch.rear_terrace,"Can you dim the lights on the rear terrace?",turn_off
